Industry,Alpha,Sigma,Rho,Sigma_minus_Rho,Supply_Effect,CSC_Effect,Efficiency_Effect,Total_Change,Observed_Change,Supply_Pct,CSC_Pct,Efficiency_Pct,Years,CSC_Dominates
111CA,0.2836368629059685,0.4484570955765106,-1.1181148082695656,1.5665719038460761,-4.532767005668794,28.1140530418192,-23.8612937691248,-0.2800077329743935,-0.2800077329743912,1618.8006515103325,-10040.45593426172,8521.655282751386,30,true
113FF,0.17823226587889696,0.8724669504911144,-0.5255655261736303,1.3980324766647447,-0.9185906049178519,4.775114528052953,-3.7183480212413196,0.13817590189378137,0.13817590189378132,-664.7979802035172,3455.8229493039103,-2691.024969100393,30,true
211,0.6933211085991867,0.9710911075168309,0.9825499739821113,-0.011458866465280382,1.6628550182437258,-0.017842481965601162,-1.8637860742909118,-0.2187735380127871,-0.21877353801278687,-760.0805076098982,8.155685613384508,851.9248219965137,30,false
212,0.42148265438542826,0.9693746099357565,0.7844691517838157,0.18490545815194082,-1.4827634029477794,0.3719645604072919,0.9491009583218211,-0.1616978842186665,-0.16169788421866643,916.9961685723829,-230.03675168951418,-586.9594168828687,30,false
213,0.09960456700501516,0.8111701995470482,0.45584950683417247,0.3553206927128757,-1.862706803969151,1.3305495420858664,0.5720553168003208,0.03989805491703624,0.03989805491703624,-4668.665697719981,3334.873203349393,1433.7924943705877,30,false
22,0.6639250037442878,0.14576252837029605,-0.5414677114636411,0.6872302398339372,-2.7955735284739416,57.07488107777125,-54.134661180201306,0.1446463690960016,0.1446463690960036,-1932.695266355786,39458.218989161585,-37425.523722805796,30,true
23,0.045683698319211714,0.6942699999681575,0.39391787169926484,0.3003521282688927,-1.3633813122820109,1.9738083558313748,-0.5458240187973908,0.0646030247519731,0.0646030247519731,-2110.3985726927913,3055.2878342915214,-844.8892615987307,30,true
311FT,0.47720379387838346,0.4152605388548048,0.9987820576824391,-0.5835215188276344,-1.9852396920694761,-8.773221246169076,10.979957164445047,0.22149622620649545,0.22149622620649456,-896.286011761973,-3960.889716464071,4957.175728226044,30,true
313TT,0.14269061298319752,0.9998900413795052,-1.4186009838814426,2.418491025260948,-5.236944658239086,5.278715051379486,-0.2817324979333433,-0.23996210479294344,-0.23996210479294333,2182.4048687845516,-2199.81194777998,117.40707899542821,30,true
315AL,0.16595171499334974,0.5064967703329756,-1.5142382890253472,2.020735059358323,-7.9555813097072035,15.605082084859843,-7.834637142913154,-0.18513636776051445,-0.185136367760514,4297.146695671511,-8428.966320137597,4231.819624466086,30,true
321,0.16996435722013306,0.6570839493647265,-0.5597523155233741,1.2168362648881006,-1.924237122143311,8.776966815712793,-6.875574346857621,-0.022844653288139227,-0.022844653288138783,8423.1399700969,-38420.22334508236,30097.083374985465,30,true
322,0.18613849305793745,0.6255004608931798,0.3986309960260548,0.226869464867125,-0.9079300871013097,0.866469800546465,0.45674559008699656,0.4152853035321519,0.4152853035321519,-218.62803219353916,208.6444651849766,109.98356700856253,30,false
323,0.03945800978636547,0.6893225439419399,-1.0236170957732689,1.7129396397152088,-7.475394781471782,10.696181478173868,-2.659127693459048,0.5616590032430375,0.561659003243038,-1330.9489811983085,1904.390638521552,-473.4416573232438,30,true
326,0.18167495000245804,0.7321993887401705,0.24095633252627593,0.49124305621389464,-1.7260793367886733,2.048752459859775,-0.5014018037382639,-0.1787286806671622,-0.17872868066716213,965.7539743176798,-1146.291939386644,280.5379650689642,30,true
327,0.18484169753760996,0.7340661204830968,0.24989540390498016,0.48417071657811667,0.27995086244927697,1.802435146314287,-1.9657083381394127,0.11667767062415102,0.11667767062415119,239.93525149389654,1544.798706275511,-1684.7339577694074,30,true
331,0.24241815011641865,0.7697017023440048,-0.7295257466629068,1.4992274490069115,-2.1729472520083855,8.157023435388798,-5.67594371462188,0.30813246875853206,0.30813246875853234,-705.1990531095946,2647.24566945298,-1842.046616343386,30,true
332,0.15876911034854072,0.5675368322858401,0.32036027224327307,0.247176560042567,-0.7980798848118342,1.7514153970098008,-0.7740995442064826,0.1792359679914839,0.17923596799148384,-445.26770700942893,977.1562129164926,-431.88850590706363,30,true
333,0.16826559499736565,0.4659429874750147,-0.9098862901059153,1.37582927758093,-4.612823438981849,17.375802488105823,-12.405664785663642,0.35731426346033146,0.35731426346033124,-1290.970977287605,4862.890812091766,-3471.91983480416,30,true
334,0.21281872009298136,0.7852690442550726,-0.5194728166564841,1.3047418609115566,-3.2012447032124305,4.374546967443913,-1.0762833447859723,0.09701891944551022,0.09701891944551033,-3299.608696436142,4508.962780090369,-1109.3540836542268,30,true
335,0.26117123765977807,0.5363945960218177,-0.6104263824131684,1.146820978434986,-4.010651033215424,6.964420380037098,-2.8882508030707195,0.06551854375095445,0.06551854375095434,-6121.398315048781,10629.693490303871,-4408.295175255089,30,true
3361MV,0.16780854466170542,0.47082354156097805,0.6045137048438965,-0.1336901632829185,-2.1383855588754903,-1.0040285245563938,3.5140880479796506,0.37167396454776647,0.3716739645477663,-575.3390774835053,-270.13689962869563,945.475977112201,30,false
337,0.11009919406427132,0.49621743089231607,-0.5116594712293143,1.0078769021216303,-2.1882032122447375,12.389134116592537,-9.970222274497722,0.23070862985007778,0.2307086298500779,-948.4704640943451,5370.034976430406,-4321.564512336061,30,true
339,0.22392746742460773,0.7420708137704853,-0.538606576834238,1.2806773906047233,-3.3836811204497352,6.113304108271448,-2.473809737110454,0.2558132507112587,0.2558132507112588,-1322.7153445108129,2389.752716590764,-967.0373720799515,30,true
42,0.2218987965144837,0.3881571972794696,-0.8239439393595882,1.212101136639058,-3.462880716658703,10.448329421895865,-6.983518175642311,0.0019305295948521817,0.0019305295948505719,-179374.65066024286,541215.7083608905,-361741.0577006477,30,true
44RT,0.2881857520987752,0.3993773871793006,0.8318352816839779,-0.4324578945046773,-2.1674299678049205,-5.38780317140035,7.8194600512290835,0.26422691202381277,0.2642269120238134,-820.291147182459,-2039.0819126383265,2959.373059820786,30,true
483,0.06950493183992414,0.8926256656986272,-0.5482522029894205,1.4408778686880477,-0.685006221031816,3.999917716910149,-3.088408289623392,0.2265032062549408,0.22650320625494091,-302.42672161594345,1765.9430888620798,-1363.5163672461363,30,true
484,0.04204877166483527,0.9999934510998773,-0.57446554246733,1.574458993567207,-0.4463443094174891,2.7662868492531993,-1.9088714046308246,0.4110711352048855,0.4110711352048855,-108.58079568029578,672.9460213435883,-464.3652256632925,30,true
485,0.12582543521015147,0.6103350025001207,0.4902953622199587,0.12003964028016206,-4.035607308594512,0.5333539326989454,3.191292928191205,-0.3109604477043617,-0.3109604477043624,1297.7879786278384,-171.51825469650052,-1026.269723931338,30,false
