alpha_0,sigma_0,rho_0,eta_0,mu_0,lambda_0,phi_L_0,phi_H_0,alpha,sigma,rho,eta,mu,lambda,phi_L,phi_H,fit_rr,fit_wbr,fit_lbr,fit_sp,obj_val,tol
0.22,0.5,-0.5,0.01,0.4,0.4,4.0,6.0,0.010220514722107575,0.9178739211879577,-0.8288391047488082,0.01,0.40278097283016123,0.004223868391686397,3.9163404392776084,6.0,39.73826686414548,1853.8877828382494,1.8635587570783416,124.64418908751061,119.880175217417,0.1
0.22,0.5,0.5,0.01,0.4,0.4,4.0,6.0,0.007901463163053589,0.8311815201843101,0.6390537127948591,0.01,0.18334589720595293,0.9728181762203607,1.5964825381354133,6.0,6.3775539105648855,3.2588577079129086,0.41739285640821966,0.34722969463234454,55.9659944788639,0.1
0.22,0.5,-0.5,0.04,0.4,0.4,4.0,6.0,0.05944394765217593,0.830379757203773,-0.7371678950860444,0.04,0.3667493042241151,0.0067527106890608495,3.918026682255837,6.0,27.512503460019452,1174.2852742335292,1.6211338709787753,79.21701535836203,29.73781124972211,0.1
0.22,0.5,0.5,0.04,0.4,0.4,4.0,6.0,0.0379984987281676,0.85493381117893,0.6099071806914296,0.04,0.15985852311919937,0.9642310543563848,2.0491952271426523,6.0,3.9937624695964806,6.248381653536593,0.36684216373937295,0.6788048546405201,12.758587537615115,0.1
0.22,0.5,-0.5,0.08,0.4,0.4,4.0,6.0,0.07165558174673722,0.9465274390773761,-0.5853140601734432,0.08,0.4207710912272413,0.01610633333892079,3.821075007878024,6.0,21.17971547448704,1570.3733092054017,1.2490450933474568,105.21656463413916,16.025989444653682,0.1
0.22,0.5,0.5,0.08,0.4,0.4,4.0,6.0,0.08909269204066088,0.606919184097172,0.652152119123855,0.08,0.18985448175554245,0.9699057406614664,1.8708182064544108,6.0,2.2530719597903124,56.18964745242837,0.365453433080057,4.464763270430649,4.227869119723472,0.1
0.22,0.5,-0.5,0.1,0.4,0.4,4.0,6.0,0.08399959889686084,0.9719279352315129,-0.685294722608533,0.1,0.4348278858553709,0.00847859663437078,3.901952202207025,6.0,21.882401182175784,1960.5370838190265,1.4527949148147672,131.43109324078807,10.900883385199842,0.1
0.22,0.5,0.5,0.1,0.4,0.4,4.0,6.0,0.07419523205826284,0.7852918288998529,0.5484175875040102,0.1,0.3737087247512034,0.942256811743417,1.0490531941246821,6.0,2.5910661404462134,29.53892722088707,0.301217369499,2.923962129788513,3.771225272567514,0.1
0.22,0.5,-0.5,0.3,0.4,0.4,4.0,6.0,0.08824998033402913,0.8823351024928836,-0.5587887890312939,0.3,0.4198649103591068,0.01679590263659324,4.008522551226758,6.0,16.055072559709604,544.0534577222862,1.0302579960694274,36.67693622399783,3.0471909750885176,0.1
0.22,0.5,0.5,0.3,0.4,0.4,4.0,6.0,0.09960456700501516,0.8111701995470482,0.45584950683417247,0.3,0.20641221797981102,0.8946955003777537,2.7549825678967133,6.0,2.5048754281175962,85.27426855703295,0.25818052645003103,8.666988867921084,0.35432435184408795,0.1
0.22,0.5,-0.5,0.01,0.4,0.4,7.0,6.0,0.005751695926489995,0.3663814008009013,-0.7020622306100538,0.01,0.5128532853224215,0.008556675469291746,0.31842788283673423,6.0,33.316456735679274,57.728636012213215,1.409293987988312,5.372896609632812,121.0197984632527,0.1
0.22,0.5,0.5,0.01,0.4,0.4,7.0,6.0,0.05787351893601648,0.6505428511273353,0.743888393415068,0.01,0.20342068843517272,0.9833596785830708,1.2281158174024123,6.0,2.4874577416755446,13.724958378526006,0.4401682838869184,1.2405321560277436,51.13439566738312,0.1
0.22,0.5,-0.5,0.04,0.4,0.4,7.0,6.0,0.0777672471673613,0.6688438094683791,-0.7944105181298151,0.04,0.870081255737134,0.004600914345680164,0.07244982565921197,6.0,25.401758520670576,384.05070418370804,1.6893213629069284,27.093914805267197,28.420697929144346,0.1
0.22,0.5,0.5,0.04,0.4,0.4,7.0,6.0,0.08822954343049966,0.8911622813455575,0.6752063130163993,0.04,0.23342563725182341,0.971529247610053,1.668654710208715,6.0,1.8610509022994364,9.464583856963102,0.3693978696649547,1.0015132506767706,10.675016087177566,0.1
0.22,0.5,-0.5,0.08,0.4,0.4,7.0,6.0,0.07803416504444685,0.3058492316349524,-0.6070264552153792,0.08,0.24148400703907552,0.012713142275662353,3.440780931111688,6.0,18.091977001998085,22.563641281828122,1.1241250685522195,2.442124090245074,13.373030711221492,0.1
0.22,0.5,0.5,0.08,0.4,0.4,7.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1
