Industry,Code,Initial Year,Initial LS,Final Year,Final LS,Change,Annual Growth (%)
711AS,711AS,1987,0.9711222656007932,2018,0.7670317177066543,-0.20409054789413883,-0.7581572625919963
Computer systems design and related services,5415,1987,0.9631782945736436,2018,0.8607287655574952,-0.10244952901614834,-0.3621140939754741
621,621,1987,0.9360900699532264,2018,0.8677357330471224,-0.06835433690610404,-0.24429622968558107
624,624,1987,0.932601192343897,2018,0.9495704062633196,0.01696921391942252,0.05818471266634262
23,23,1987,0.9240413363721222,2018,0.7979027442814189,-0.12613859209070322,-0.47233289053009164
Legal services,5411,1987,0.917883058772268,2018,0.6640498498029012,-0.2538332089693668,-1.038801551598445
61,61,1987,0.9170833333333334,2018,0.8133417580944722,-0.10374157523886118,-0.38649940702366603
622HO,622HO,1987,0.8960718397421138,2018,0.8563031152724937,-0.0397687244696201,-0.1463320815213498
323,323,1987,0.8766531509341013,2018,0.6647882554961666,-0.21186489543793474,-0.8884262274296395
561,561,1987,0.8646214577015581,2018,0.8207540637388128,-0.043867393962745305,-0.1678212236407961
337,337,1987,0.8401099209242331,2018,0.8013374915602997,-0.038772429363933436,-0.15230501224298143
484,484,1987,0.8346861653361956,2018,0.7091957518619891,-0.12549041347420642,-0.5241833397467754
524,524,1987,0.8338773763677486,2018,0.5075692934874618,-0.3263080828802868,-1.5887064616802227
482,482,1987,0.8248335967054542,2018,0.5311369568203672,-0.293696639885087,-1.4098439196853385
493,493,1987,0.8236304465738564,2018,0.8699289299452317,0.04629848337137532,0.17657369664161315
487OS,487OS,1987,0.813067948642786,2018,0.785508876214957,-0.027559072427828957,-0.11117340171858947
315AL,315AL,1987,0.8033951835767864,2018,0.9310974954315812,0.12770231185479475,0.47699617081329304
5412OP,5412OP,1987,0.7965042819036923,2018,0.7809118590324914,-0.015592422871200884,-0.0637545659294303
313TT,313TT,1987,0.7952286282306164,2018,0.7823072325164375,-0.01292139571417883,-0.052831562266286713
331,331,1987,0.7901862789641072,2018,0.5081383216574751,-0.2820479573066321,-1.4141476422179
55,55,1987,0.7745984455958549,2018,0.8720459699819076,0.09744752438605275,0.3829811185903198
81,81,1987,0.7718914907651715,2018,0.8552905574276728,0.0833990666625013,0.33150717790382256
213,213,1987,0.7684534270650264,2018,0.6547685243314021,-0.1136849027336243,-0.5151144650744288
722,722,1987,0.7404646822358346,2018,0.7021194854528188,-0.038345196783015845,-0.17138310452611272
333,333,1987,0.7393835714901814,2018,0.6245823786968363,-0.11480119279334511,-0.5428232812020428
485,485,1987,0.7263214381540113,2018,0.7247476871320437,-0.001573751021967551,-0.006996828061023308
334,334,1987,0.7114878927864359,2018,0.5209044480621784,-0.19058344472425748,-1.0007388743611512
339,339,1987,0.7101152996974405,2018,0.6442235894199927,-0.06589171027744778,-0.31364097519447354
332,332,1987,0.7096709239443102,2018,0.6870171059488044,-0.02265381799550581,-0.10459746444562157
Retail trade,44RT,1987,0.7064415830597809,2018,0.5961957361450615,-0.11024584691471939,-0.5458322611775923
327,327,1987,0.6930998970133883,2018,0.4999840703453549,-0.19311582666803334,-1.0480113071910546
321,321,1987,0.691242837584301,2018,0.6350331463539011,-0.05620969123039998,-0.2732196053696456
3361MV,3361MV,1987,0.6812065485534873,2018,0.5076352572026244,-0.1735712913508629,-0.9442311976921802
562,562,1987,0.6649869522181229,2018,0.5826631853785901,-0.0823237668395328,-0.4254090996038462
326,326,1987,0.6616081746852381,2018,0.6029007801340512,-0.0587073945511869,-0.29929592406767735
335,335,1987,0.6481167948041855,2018,0.5783649190759441,-0.06975187572824137,-0.36663560456424715
483,483,1987,0.64513839602555,2018,0.5200226004661346,-0.12511579555941543,-0.6930472355483497
212,212,1987,0.6418133333333333,2018,0.3253665463379583,-0.31644678699537504,-2.167598365818979
721,721,1987,0.6307977223727127,2018,0.5010270086246028,-0.1297707137481099,-0.7402313223783707
3364OT,3364OT,1987,0.6231692266515992,2018,0.5331699665497062,-0.08999926010189307,-0.5018906660146483
481,481,1987,0.6059036342706792,2018,0.4396734777848803,-0.16623015648579886,-1.029147015798415
42,42,1987,0.586925222083214,2018,0.4591288834275604,-0.12779633865565354,-0.7890206298705515
322,322,1987,0.5865835030549899,2018,0.5204257475924987,-0.06615775546249114,-0.38528107796779176
113FF,113FF,1987,0.5787581888805148,2018,0.7835501207259132,0.20479193184539846,0.9820497218586022
111CA,111CA,1987,0.5779862353529004,2018,0.6452513966480447,0.06726516129514426,0.3557601973730673
311FT,311FT,1987,0.5149004071750853,2018,0.4533641046526536,-0.06153630252243175,-0.4097322721228758
325,325,1987,0.4476833049478143,2018,0.2813817330210773,-0.166301571926737,-1.4868162393488982
521CI,521CI,1987,0.4450165828973912,2018,0.4000997697510225,-0.044916813146368695,-0.3426297639532394
324,324,1987,0.3896759713844859,2018,0.1070809792843691,-0.2825949921001168,-4.081250831597682
512,512,1987,0.3685946220192795,2018,0.5688763516690174,0.2002817296497379,1.4097335171892045
513,513,1987,0.3560433716429816,2018,0.250746391895944,-0.10529697974703761,-1.1246298862309323
211,211,1987,0.2671505206689807,2018,0.1448854531858484,-0.12226506748313232,-1.9544189869237227
22,22,1987,0.246844498140082,2018,0.2648420432355513,0.01799754509546933,0.22727403427684756
532RL,532RL,1987,0.2005531440863519,2018,0.1619230407222042,-0.03863010336414768,-0.6878111100144912
531,531,1987,0.0823062908584288,2018,0.0671823928516211,-0.015123898006807704,-0.6528157766906739
525,525,1987,0.0408881668020579,2018,0.0899554990464081,0.04906733224435019,2.5760878616809757
