alpha_0,sigma_0,rho_0,eta_0,mu_0,lambda_0,phi_L_0,phi_H_0,alpha,sigma,rho,eta,mu,lambda,phi_L,phi_H,fit_rr,fit_wbr,fit_lbr,fit_sp,obj_val,tol
0.22,0.5,-0.5,0.01,0.4,0.4,4.0,6.0,0.17130325639230573,0.9926949391687079,-1.3115719348613155,0.01,0.8518498262292417,0.004132415410273983,1.8755155997647863,6.0,57.72068163300981,3.9043647497090284,0.5324675340075071,67.97710951478109,38.166663977541184,0.1
0.22,0.5,0.5,0.01,0.4,0.4,4.0,6.0,0.17334672699219447,0.9544939773197842,0.990710178795901,0.01,0.0489788256910923,0.9904476072845348,3.8490385613443885,6.0,17.156114603527396,0.036230673614964494,0.1352859784523935,1.0838475309304463,24.319328616271097,0.1
0.22,0.5,-0.5,0.04,0.4,0.4,4.0,6.0,0.22899492689551443,0.9711930598490698,-1.171092515786421,0.04,0.7990704658378731,0.006351655985748021,2.1287656853794386,6.0,46.11485402024081,5.670661494637926,0.6586559347072258,99.7187512181412,7.886430761012621,0.1
0.22,0.5,0.5,0.04,0.4,0.4,4.0,6.0,0.19839233073510198,0.7748963109659035,0.9906442648461531,0.04,0.25682605441447276,0.9897229220787308,2.3127454689907956,6.0,13.72973931596305,0.03659809572547556,0.14926667192658588,1.2520276172069094,6.845854561760773,0.1
0.22,0.5,-0.5,0.08,0.4,0.4,4.0,6.0,0.24032471697081959,0.9726484411705324,-0.9264268879728695,0.08,0.9123211467184584,0.017640623740831436,1.164432138996504,6.0,32.75009763163354,3.2281948627538357,0.5412731616558342,56.55643610504972,3.5934312337238463,0.1
0.22,0.5,0.5,0.08,0.4,0.4,4.0,6.0,0.22863951828458137,0.988840951472515,0.8326960386763396,0.08,0.09800110219513578,0.9747193613473306,3.4413785617024613,6.0,7.333470737053967,0.029178271300998933,0.1640783990128132,0.6063332162427901,2.9347065850179423,0.1
0.22,0.5,-0.5,0.1,0.4,0.4,4.0,6.0,0.22904169726183168,0.9998738455686005,-0.7234528735412283,0.1,0.4651844633417232,0.04582389230171943,3.1787915589074025,6.0,48.3720348844565,7.372925977004297,0.6542835950666449,132.02219983604516,3.9044485589080127,0.1
0.22,0.5,0.5,0.1,0.4,0.4,4.0,6.0,0.23187481603972185,0.9709736662727344,0.9779671013894291,0.1,0.06828364909758244,0.9880038309096966,3.7626998960238627,6.0,7.357568495780667,0.03307608390950138,0.1620565862376251,0.7091395371564199,0.357474485266622,0.1
0.22,0.5,-0.5,0.3,0.4,0.4,4.0,6.0,0.24241815011641865,0.7697017023440048,-0.7295257466629068,0.3,0.41013848526555996,0.04061166551261465,4.04540651859484,6.0,28.362885945062036,1.2251448567503085,0.48008301739760395,22.703730746699804,-0.5224931169424505,0.1
0.22,0.5,0.5,0.3,0.4,0.4,4.0,6.0,0.2356608269960202,0.9704062939592919,0.3570511008470541,0.3,0.15313291899031717,0.8213265634296862,3.1753087921094076,6.0,16.85389118064478,1.690909657581321,0.2750461958601901,33.880054977488186,1.5468312505376198,0.1
0.22,0.5,-0.5,0.01,0.4,0.4,7.0,6.0,0.20136407282160446,0.9910082867402524,-1.4396616875486439,0.01,0.6002377607240943,0.002268214682849712,3.3326818515402126,6.0,50.19804167852229,3.862902565139751,0.6000515799941439,67.3794472132294,34.685105471050136,0.1
0.22,0.5,0.5,0.01,0.4,0.4,7.0,6.0,0.16861747535881336,0.9956995077542027,0.999787927823406,0.01,0.1585229123188149,0.9912261442692978,2.387037030826192,6.0,17.828418721372124,0.025035352330278066,0.13442004262248589,0.6766741653046099,23.45957503887661,0.1
0.22,0.5,-0.5,0.04,0.4,0.4,7.0,6.0,0.20375382291834265,0.6061237541146102,-0.9829131692169637,0.04,0.5554996712414335,0.017463850305143244,3.3614520997279898,6.0,45.455436001519615,0.7199000238029404,0.5099118955443827,13.983211378387312,12.803011677339722,0.1
0.22,0.5,0.5,0.04,0.4,0.4,7.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1
