alpha_0,sigma_0,rho_0,eta_0,mu_0,lambda_0,phi_L_0,phi_H_0,alpha,sigma,rho,eta,mu,lambda,phi_L,phi_H,fit_rr,fit_wbr,fit_lbr,fit_sp,obj_val,tol
0.22,0.5,-0.5,0.01,0.4,0.4,4.0,6.0,0.3524686412373312,0.8685858833968848,-1.2511643674016029,0.01,0.003167653283063393,0.005631044070694498,9.433385978578114,6.0,35.44594261011462,3.8605025973879927,0.32734759317807616,103.3754958701868,36.08470554024555,0.1
0.22,0.5,0.5,0.01,0.4,0.4,4.0,6.0,0.2952240430242529,0.9999414887107997,0.8503641254342903,0.01,0.004129365304985994,0.9954244456277268,4.843158794277619,6.0,23.817161662611415,0.016047813343227114,0.09474411174869649,0.5473613915711716,21.06164945242966,0.1
0.22,0.5,-0.5,0.04,0.4,0.4,4.0,6.0,0.3756465084747969,0.7682768837009875,-0.7592284625224061,0.04,0.08650020836670132,0.0592149277255232,5.264911314500273,6.0,31.04366447371142,1.7266626914983783,0.28706467369623856,52.3014743130207,11.833296192763997,0.1
0.22,0.5,0.5,0.04,0.4,0.4,4.0,6.0,0.38373548225034815,0.8278967687173253,0.7290651258334839,0.04,0.029686525091761166,0.9886571901505932,4.059136697947281,6.0,9.751026180820181,0.0659793244799777,0.11543025313794833,1.354754852803182,3.057303717625057,0.1
0.22,0.5,-0.5,0.08,0.4,0.4,4.0,6.0,0.39663250846344933,0.6621950972520532,-0.7613951452546186,0.08,0.09417019345342431,0.05619283641895856,5.915890290984789,6.0,23.15850225702186,0.5349488166914907,0.290834954140596,20.362857674914235,3.6382211346379036,0.1
0.22,0.5,0.5,0.08,0.4,0.4,4.0,6.0,0.4152202816349685,0.8357800160944152,0.7903290250310502,0.08,0.12888767928904327,0.990482203697334,2.2864870407679865,6.0,6.0743347266735075,0.09466302225438494,0.12262576355583264,1.8878232425752,-1.9315348082138988,0.1
0.22,0.5,-0.5,0.1,0.4,0.4,4.0,6.0,0.4039933042084054,0.8144823727273068,-0.6733908279318563,0.1,0.117901883388906,0.07649237515124785,4.603679279096687,6.0,26.201466712019478,2.9087266382712134,0.31280183666985195,84.14277789552868,2.220272085061302,0.1
0.22,0.5,0.5,0.1,0.4,0.4,4.0,6.0,0.4086109653513699,0.8055177757063157,0.9182487832116053,0.1,0.0447732015351857,0.9952021207250692,3.652876570965126,6.0,6.9452786084795495,0.13952702971350933,0.11501959604678484,2.9594948404224577,-3.334694453430458,0.1
0.22,0.5,-0.5,0.3,0.4,0.4,4.0,6.0,0.4151128807090848,0.5588645128705416,-0.6462050865883967,0.3,0.38580075508669337,0.09088596972104113,3.043174269872678,6.0,23.56519040324782,0.504191295949217,0.3293918970464744,22.431604642246164,-2.379621231148693,0.1
0.22,0.5,0.5,0.3,0.4,0.4,4.0,6.0,0.42148265438542826,0.9693746099357565,0.7844691517838157,0.3,0.2639250623232741,0.9920411721995417,1.2172846034526914,6.0,3.9733978534200736,0.45589942485743906,0.12437088858680218,13.79511264628958,-4.837567160984526,0.1
0.22,0.5,-0.5,0.01,0.4,0.4,7.0,6.0,0.3565604982676403,0.994849248052823,-1.0224220632284382,0.01,0.20670013802434198,0.01697333173677676,3.7300013903375424,6.0,41.81864752301009,9.503879753775983,0.32660766256131124,233.55695485053315,39.7383712808391,0.1
0.22,0.5,0.5,0.01,0.4,0.4,7.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1
