alpha_0,sigma_0,rho_0,eta_0,mu_0,lambda_0,phi_L_0,phi_H_0,alpha,sigma,rho,eta,mu,lambda,phi_L,phi_H,fit_rr,fit_wbr,fit_lbr,fit_sp,obj_val,tol
0.2,0.5,-0.5,0.01,0.4,0.4,4.0,6.0,0.1454511511292971,0.9969818940420452,-1.3897972556616596,0.01,0.06460977881714786,0.0005101366415525955,6.904265633295356,6.0,7.1116019136044235,0.5281651351663216,0.25510471480705504,21.57689307920949,14.38720507437738,0.01
0.2,-0.45,-0.5,0.01,0.4,0.4,4.0,6.0,0.13105396448765366,-1.5430598056184273,-1.3793496453623575,0.01,0.35789194783699707,0.0002677213589811173,4.155450938491783,6.0,21.353875642297734,142.54172619151902,0.08299498716567111,22559.201015054423,19.731485702520764,0.01
0.2,0.5,0.45,0.01,0.4,0.4,4.0,6.0,0.12317614499581454,0.9977264135666976,0.9987370554306747,0.01,0.108028220137355,0.9872599085545598,2.8700193507052236,6.0,8.59795824344878,0.24496412796966488,0.06137769288978569,5.0695894592743835,20.300801604990877,0.01
0.2,0.5,-0.5,0.04,0.4,0.4,4.0,6.0,0.14269061298319752,0.9998900413795052,-1.4186009838814426,0.04,0.07671643850607712,0.0004310008613728804,6.889604697346968,6.0,5.98155859237949,0.27759911054648917,0.19253209036808444,9.479097725290169,3.3672362487330263,0.01
0.2,-0.45,-0.5,0.04,0.4,0.4,4.0,6.0,0.14236691042462388,-1.5479542396669308,-1.4381317435016594,0.04,0.12371423554018507,0.0002317686142895421,2.960643056181469,6.0,20.791219678553283,50.429530310960416,0.0853258437734826,8259.049968856743,5.451079978858801,0.01
0.2,0.5,0.45,0.04,0.4,0.4,4.0,6.0,0.13489661841106762,0.8823045998362705,0.9988809484390132,0.04,0.046049641553135505,0.9869483295070797,4.409936977919835,6.0,7.131909505195201,0.12290281334414094,0.05881148206097318,3.325000687202374,5.245826680104891,0.01
0.2,0.5,-0.5,0.3,0.4,0.4,4.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01
