specification,period,n_obs,rmse_skill_premium,rmse_labor_share,rmse_wage_bill_ratio,rmse_labor_input_ratio,r2_skill_premium,r2_labor_share,r2_wage_bill_ratio,r2_labor_input_ratio,mae_skill_premium,mae_labor_share,mae_wage_bill_ratio,mae_labor_input_ratio
KORV (63-92),1963-1992,30,1.379105309856019,0.1181241963129718,0.5284248171183403,6.914925286850001e-17,-620.0981950614826,-79.72683078188936,-21.422026174927606,1.0,1.3508777411976065,0.11685982534919065,0.5272899583492905,4.785444071660157e-17
Repl. (63-92),1963-1992,30,1.383953867033828,0.13412456549643684,0.5366596718528174,1.0308162000485891e-16,-624.473094893505,-103.07749378909705,-22.126311186876325,1.0,1.3616677766553316,0.1330487428738341,0.5347153763833334,8.039546040389065e-17
