alpha_0,sigma_0,rho_0,eta_0,mu_0,lambda_0,phi_L_0,phi_H_0,alpha,sigma,rho,eta,mu,lambda,phi_L,phi_H,fit_rr,fit_wbr,fit_lbr,fit_sp,obj_val,tol
0.22,0.5,-0.5,0.01,0.4,0.4,4.0,6.0,0.5657845727117108,0.6562516563592466,-1.2452945174204673,0.01,0.08582241153022892,0.0016456141330746707,5.685051729187565,6.0,92.78192618085745,137.39697743339894,0.5325501317834472,618.9358062083246,164.96859180362532,0.1
0.22,0.5,0.5,0.01,0.4,0.4,4.0,6.0,0.638512443654432,0.9973261565655207,0.9987990873935212,0.01,0.1787603087430247,0.9975880212287478,0.8812779487523749,6.0,10.21845813486899,0.5166367871308596,0.09062471017856445,2.254002431676078,47.0900030998857,0.1
0.22,0.5,-0.5,0.04,0.4,0.4,4.0,6.0,0.6701350940766122,0.9864637384400358,-1.0384933463015698,0.04,0.46358898289437317,0.004026804959242332,3.071653041080897,6.0,42.018835994920906,177.4658447169942,0.3829526995833677,700.2731882965966,40.42163166388681,0.1
0.22,0.5,0.5,0.04,0.4,0.4,4.0,6.0,0.6672430938894741,0.8866220108324401,0.8479900612183071,0.04,0.18922396483127396,0.9939089372247071,1.200972550055581,6.0,7.4268614109876765,2.038630901041785,0.0881786295514087,5.469592981007156,15.407530894661654,0.1
0.22,0.5,-0.5,0.08,0.4,0.4,4.0,6.0,0.6647970935789014,0.6640483985458763,-1.0120444627174983,0.08,0.3565221210421297,0.004581027163543263,3.376594968255594,6.0,39.28450304306522,71.10462928693342,0.3609472497608958,315.67800533962685,22.4765271740709,0.1
0.22,0.5,0.5,0.08,0.4,0.4,4.0,6.0,0.6933211085991867,0.9710911075168309,0.9825499739821113,0.08,0.10873259195343973,0.99661288861127,1.9298714104231092,6.0,3.599360189279466,2.177287617920594,0.09128050802171254,6.897225726634258,5.1822416899334005,0.1
0.22,0.5,-0.5,0.1,0.4,0.4,4.0,6.0,0.6618367702706744,0.5274640156103935,-0.5920592203882769,0.1,0.17731708027554127,0.04509818975649621,4.561539678964563,6.0,31.1080368657633,33.2261535523566,0.2570782570870382,159.2285773101578,27.693742208096534,0.1
0.22,0.5,0.5,0.1,0.4,0.4,4.0,6.0,0.6808544929480081,0.999728981140699,0.7587076497946773,0.1,0.022867793590086467,0.9894196935344713,3.5899441087304194,6.0,6.302469148195982,3.163190719647729,0.09469729056367072,8.182834456586882,6.335168683726339,0.1
0.22,0.5,-0.5,0.3,0.4,0.4,4.0,6.0,0.7024489905142742,0.38104923473605773,-0.6243983546478464,0.3,0.5131604529892002,0.03264464758355495,1.367085842288975,6.0,19.094224639333444,19.80993337234419,0.25250051273940377,91.69803549450043,7.304607494120928,0.1
0.22,0.5,0.5,0.3,0.4,0.4,4.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1
