YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO,REL_P_EQ_AGG
1987,0.8338773763677486,342.73033471335344,64.30850968656055,5.4201323342787004,1.0,0.0234375,0.1448275862068965,0.0,0.0,0.0,0.0,1.5512452285846117,0.6574879977670862,1.0
1988,0.7513056603773585,370.9352176639046,70.64291733978862,6.041450794148401,0.9506691007404918,0.0253456221198157,0.147239263803681,16.221864321076897,11.736790214445328,10.499727994249174,15.884899044710963,1.7438122806610137,0.7270217674707774,0.9500747816442774
1989,0.7199527681130681,390.23006310022663,78.22419359847372,6.8961693638949795,0.9066512880307448,0.0242424242424242,0.1451612903225806,16.325195561298116,11.819628315792198,10.834750859114672,17.663719426285066,1.5076630647103229,0.7044021840695067,0.9038180442807321
1990,0.7064139051018603,404.26672114659294,86.48357492899214,7.721157118329799,0.8554887380334315,0.025,0.1442307692307692,16.115341317733154,11.782004197903715,11.260359479600627,18.870573887107565,1.5330793394454587,0.6023152947484894,0.8561909623063513
1991,0.6772156962577736,408.61964122833683,91.44099230567274,8.6786561220156,0.8137303485389084,0.0252951096121416,0.1441048034934497,15.186006527730434,11.723491841530347,12.082463418024087,17.25763048457118,1.314975999270762,0.7813253126213588,0.8190151382042606
1992,0.6439924542588398,418.14290173461956,95.97799355383124,9.96566385972369,0.7531102994729006,0.0251572327044025,0.14453125,14.868084039067398,11.960146778229992,12.598468661791003,17.905359951669396,1.551436507936305,1.0942605812913426,0.7703925033557711
1993,0.6672420541976553,438.2559203171054,98.95480120105671,11.11887471691575,0.6952957745321484,0.026470588235294,0.1474820143884891,14.581380526307901,11.81790566969076,13.293840319444255,18.14341887250855,1.5410173246661498,0.6811709498813723,0.7267644146752844
1994,0.6303705466768065,459.49703595240464,105.42395694793417,12.612583323695308,0.6577796356870165,0.0251322751322752,0.1493506493506492,15.274771687646549,12.051376883830695,13.379515532778308,22.111583245626477,1.4704883785514558,0.7577920258581252,0.6952151400738843
1995,0.5972874530206472,462.27791701475917,106.92004464864362,15.62671899332318,0.6041431942183063,0.0267515923566877,0.1510989010989011,14.04389839563088,12.679407829539555,14.126743239429274,20.14073318578391,1.6912778060561595,1.0416016483220047,0.6535027182946822
1996,0.6128926071851799,460.90820833276365,109.80466778845118,16.52592255069056,0.5354363529805708,0.0254545454545453,0.1598915989159891,14.22359885305522,11.708888871173176,14.820905909346116,22.98054834248626,1.282162558431891,0.8020910102421043,0.6064656149242227
1997,0.5773000301491222,470.411990053095,113.26861602956906,17.74918570370295,0.47923209127919647,0.0259887005649717,0.1618037135278515,14.472713584941772,11.880829822467796,15.239087059464657,24.773518489782198,1.536657392128666,0.819669411866211,0.5662120458808116
1998,0.5651207880474958,496.8936091025096,116.24963120452269,20.49894732326342,0.41664266469187594,0.0253164556962025,0.1588089330024813,14.482651449059825,12.558951885593842,15.529335613307277,26.344135894626195,2.1070990518652986,0.8443795906413033,0.5180442033154055
1999,0.58949025429694,511.45613506180285,118.33612062522192,23.30768697340071,0.3620525814626866,0.0260260260260259,0.1612903225806451,14.499326652289957,12.362220994137019,16.046384709417023,28.37750650470049,1.9077647369614743,0.8752001205446602,0.47066116806736263
2000,0.5351705692443356,538.7280347598723,119.36834393058913,25.86400889362963,0.32617113673100145,0.0259365994236311,0.1648590021691974,14.517384047578528,12.054816453979692,16.64833385797146,30.26228219677023,1.5854198043249887,0.7599309718705939,0.4317115486378693
2001,0.5965760091611795,551.0089995237021,121.56634649177518,27.598596128596807,0.2877837365859399,0.0256880733944954,0.1698924731182794,14.775976061043345,11.70320440520877,17.157003088814164,33.14639247759026,1.7616504751313993,0.9613671339319804,0.3940239666395768
2002,0.6356731408462478,570.2174664296999,121.37227777274029,28.87886202829593,0.2568732869078697,0.0259623992837959,0.1698924731182794,14.29566458237879,11.539666942455442,18.02274231750673,32.888916017615216,1.865929047208757,0.7602028561777939,0.36386810052785795
2003,0.5946449567107279,613.5719386581779,121.69952679909511,31.641224494901632,0.22586628439950543,0.0262237762237762,0.1691022964509394,14.594583759518704,12.396853312640813,18.266439646602603,35.255851106023194,1.827138956156354,0.6926773544292334,0.3321637621864851
2004,0.5555255520896379,655.8683121751122,121.36320471237202,33.815214151746105,0.20645937347550786,0.0250403877221324,0.1713147410358566,14.471081637666792,12.188427692189196,18.93858294791865,36.95114431952975,1.9206258977255584,0.7900584262882907,0.3118898269439929
2005,0.5387033974226448,692.2719116789907,121.73526053971614,34.54594660506453,0.18426750332394104,0.0251851851851852,0.1761133603238865,14.300031676042963,11.877143479754922,19.68536912063393,38.53581003748135,2.092366812551541,0.9029963398597968,0.2920120745007541
2006,0.5363886249308788,705.1274376115564,122.40041288616776,35.159895853478005,0.16287833820748895,0.0254996554100619,0.174089068825911,14.09936792551772,12.264162305980909,20.302787988501624,39.259037678069696,1.866711541465638,0.9009267356218544,0.27154907496304725
2007,0.5072024746269466,746.7659059996977,123.89331329821648,35.910765226946424,0.14677142214577002,0.0257255936675462,0.1756198347107438,14.005395773820991,12.764186741327876,20.815878642689462,40.38034504403336,1.8597596367380107,1.126344211110751,0.2547452457378451
2008,0.598108402014652,758.1892123741037,124.50850109347111,36.79262853115992,0.13068206947667504,0.0249532127261384,0.1741803278688525,13.461123225180252,13.249448099511742,21.505342933172507,40.199988475224636,1.997788630349824,0.9366036488400672,0.23574145354812562
2009,0.5488319060274961,679.1713585132022,124.83778008914078,36.34033568667776,0.12316614678657432,0.0269382391590012,0.1788793103448277,12.984245944713527,13.121457515359124,22.408344006175497,40.02618935498149,2.1602325711625565,0.9499210391369554,0.22838324480601288
2010,0.553290520238025,686.4811463987854,123.15186553004018,36.779148612216076,0.11182676063157967,0.026,0.178021978021978,12.201491102834755,14.179157748784709,23.17766574238186,38.31053695909341,1.6983785357270251,0.8951911990625678,0.20973249811306424
2011,0.5649058356229066,739.0328134391459,121.45820497980876,37.59363992192445,0.10388478946088966,0.0261608894702419,0.1784140969162996,12.154080978380206,14.847813545448506,23.776720513538876,38.97969255441317,1.4740791577106855,1.2918363370480783,0.19869040305986455
2012,0.5641169314704907,796.3529635296353,119.97660560853649,39.56234581612184,0.09753657539925692,0.0261951538965291,0.1790393013100437,12.083233482797226,15.884590509046003,24.19341823046825,40.222579062566254,1.5002978885764362,1.1552605983829851,0.18864892110924922
2013,0.6059802316666322,836.1147147855486,119.05259533576816,41.905747314878646,0.09258817947375457,0.0257234726688102,0.1810344827586206,11.97300508565324,16.479909328850574,24.65174333277328,42.17993412249854,1.7015280228767198,1.6021931723071792,0.17942470361884144
2014,0.5091849945934411,909.659523970323,119.24941234225248,43.579410878966215,0.08758186339260174,0.0259001895135817,0.1827956989247311,11.786825938806192,16.61501686417096,25.220620329579887,44.2750348685179,1.8624820167848448,1.839752701559402,0.16940040437319334
2015,0.4804901138730356,974.5114146527844,121.90793451680209,45.858782189407876,0.08303122193647793,0.0257668711656441,0.1853448275862069,11.882932058649832,17.33987817086283,25.42493729876317,47.31809252170189,2.0208655710218872,1.385944799914704,0.1606264510913028
2016,0.4766111029468365,1005.0606693967109,122.90180608273158,48.15329824279575,0.07782276662979978,0.0259818731117825,0.1849462365591397,10.94959442392426,17.660406883071165,26.131852642392516,47.33233377790299,1.8447574433489349,1.299436114657469,0.15057231044144603
2017,0.5204389011854981,1053.4267045349075,123.90864989698551,49.74146386881165,0.07398061086018295,0.0257913247362251,0.1853448275862069,10.408053751781928,17.72553155235036,26.808768865051483,48.42541809460534,1.643860629613792,2.033716387394169,0.1425409382901312
2018,0.5075692934874618,1108.0159902825492,124.5938615701396,52.14593285612536,0.07025027512456536,0.0251959686450168,0.1818181818181818,9.918555369552235,18.51343944442415,27.276762638793123,49.37580825159404,1.8167493042800893,1.6834776580529562,0.13499655825412618
