YEAR,W_college,W_noncollege,SKILL_PREMIUM
1962,3.116325772457087,2.150147234636922,1.4493545940742592
1963,,2.35946624713122,
1964,3.229903955558601,2.2618075753729796,1.4280188954738906
1965,3.325351715915589,2.3430533545792582,1.4192385800419478
1966,3.5212189944525254,2.3807959386080895,1.479009157127164
1967,3.653291250823403,2.5182708439836134,1.4507141912679726
1968,3.8268281862658418,2.6195308712912264,1.4608830261196772
1969,4.069243304656175,2.8314281938691774,1.4371698754244266
1970,4.5162247574319005,3.1247200185370176,1.4453214146035331
1971,4.797383773606816,3.3171219664913196,1.446248833195977
1972,4.959982164041282,3.4347366563903186,1.4440647596121374
1973,5.210838163930132,3.6709191230733063,1.419491410523804
1974,5.4692228012557695,3.921995375985088,1.3945000636014429
1975,5.747993927178617,4.262419236097866,1.3485285254204031
1976,6.36234289661623,4.5674855801017955,1.3929639809556733
1977,6.710458985811735,4.880352526546032,1.3749947261619078
1978,7.136988679050598,5.231450767091603,1.3642465535460573
1979,7.5887652986956216,5.608487687737738,1.353085844386806
1980,8.258174758695276,6.161176469834314,1.3403567969734447
1981,8.96192371489426,6.677552247976603,1.3420971311171477
1982,10.001245967458964,7.234826287542094,1.3823754116502378
1983,10.697363527380379,7.53491638110503,1.4197056724087442
1984,11.044313078887521,7.76525607440725,1.4222728745916564
1985,11.641894838197107,8.152554653320049,1.4280057397046775
1986,12.169806588928084,8.46584081392974,1.437518948962969
1987,12.756027169892944,8.685103280127752,1.4687248681405791
1988,13.61266491659388,9.261235217161692,1.4698541390427808
1989,14.15240342837497,9.52903509491242,1.4851874599486974
1990,14.89563338329831,9.913673548484265,1.5025341827576877
1991,15.240340732737984,10.007690374595885,1.522862934631248
1992,15.350213697649645,10.158698909037021,1.51104130903952
1993,15.679031415331371,10.438763548404534,1.5020008205596114
1994,15.905424119127213,10.48884453460726,1.516413372955267
1995,16.289797495725868,10.79371882042699,1.5091923151544036
1996,17.994214311355464,11.283290990448183,1.5947664849367424
1997,18.974212652619684,11.772262964241337,1.6117727500867525
1998,19.40655720468537,12.202461360312695,1.5903805495998773
1999,20.408146998556784,12.313853919869727,1.657332231757764
2000,20.632530141986194,12.58885947376211,1.638951501920315
2001,22.63162342006889,13.176098281160968,1.717627095452629
2002,23.73596006746554,13.63240271185495,1.7411428175331398
2003,24.024553077050367,13.87819395310061,1.7311008304277877
2004,24.34516077349938,14.314287418390114,1.7007595322015274
2005,24.983390172002984,14.530549629963225,1.7193699349462401
2006,25.60563975534529,14.70657924432942,1.7411009949997953
2007,26.920507622877494,15.200005861543477,1.7710853448410357
2008,26.8277142382053,15.740760200704486,1.7043467974948638
2009,27.71990814850948,16.052482326347743,1.7268300057874169
2010,28.44472386665351,16.327045636220642,1.742184379245592
2011,28.11176526925188,16.43995387653504,1.7099661884925461
2012,29.142601190757016,17.08147655961964,1.7060937963436777
2013,29.398610586398046,16.96601210022884,1.7327943899086051
2014,30.01230644909804,17.35351738804778,1.72946531691431
2015,30.28305533008458,17.764295078617575,1.7047147210775346
2016,31.481859848354443,18.084977752586223,1.7407740434655725
2017,32.51107122950773,19.05617901431431,1.7060645371292216
2018,33.3361722424706,19.542046473664488,1.7058690494567976
2019,34.446313276085675,19.669054797317703,1.751294794337711
2020,37.004259947241266,20.364055168442295,1.8171361077721844
2021,38.177262520251645,21.58637731338592,1.7685812661385085
2022,39.2462285702906,22.05994905040341,1.7790715871836023
2023,41.87959757985693,23.206784113794733,1.8046273613138226
2024,43.35486054265144,24.19422517251512,1.7919507747618628
2025,45.66551069482773,26.16288264671514,1.745431163356964
