BEA_CODE,YEAR,REL_P_EQ_DEVIATION
111CA,1947,0.5932519679867698
111CA,1948,0.6094151254396718
111CA,1949,0.6207894637737295
111CA,1950,0.6202083081723627
111CA,1951,0.6071708420259778
111CA,1952,0.6212586377275506
111CA,1953,0.6191409771075019
111CA,1954,0.6167480247033386
111CA,1955,0.6096258755620534
111CA,1956,0.5949386226736284
111CA,1957,0.587836330649805
111CA,1958,0.5950261315271975
111CA,1959,0.6007275732912027
111CA,1960,0.601416896076326
111CA,1961,0.6096925080664304
111CA,1962,0.61968627510813
111CA,1963,0.6258519308795
111CA,1964,0.6317288605773218
111CA,1965,0.6419139611709478
111CA,1966,0.653683324679265
111CA,1967,0.6583353682916403
111CA,1968,0.6586679166484953
111CA,1969,0.6638960848444144
111CA,1970,0.6644975965837828
111CA,1971,0.6752441387216818
111CA,1972,0.6912240231319958
111CA,1973,0.6939530913731965
111CA,1974,0.7198442898394605
111CA,1975,0.7289289673329256
111CA,1976,0.7397680911717079
111CA,1977,0.7532405940209179
111CA,1978,0.7729637270428336
111CA,1979,0.795580411439382
111CA,1980,0.8301340795154221
111CA,1981,0.8615185578384823
111CA,1982,0.8949901155705411
111CA,1983,0.9247792046310603
111CA,1984,0.9536983744103971
111CA,1985,0.9648946091639758
111CA,1986,0.987714210848509
111CA,1987,1.0
111CA,1988,1.0086048117668258
111CA,1989,1.0285267653279748
111CA,1990,1.0447993648362648
111CA,1991,1.0716366236199288
111CA,1992,1.109437480295613
111CA,1993,1.1392355019997142
111CA,1994,1.1660355724884752
111CA,1995,1.195021221537609
111CA,1996,1.2462564832164087
111CA,1997,1.293487174681985
111CA,1998,1.3616530533789042
111CA,1999,1.4300568310073964
111CA,2000,1.465656470688973
111CA,2001,1.5188997289901789
111CA,2002,1.570923298979005
111CA,2003,1.638871595941418
111CA,2004,1.696735748486693
111CA,2005,1.7501301991219187
111CA,2006,1.7999525772878422
111CA,2007,1.8496744548756687
111CA,2008,1.92813938868245
111CA,2009,2.0029635205790215
111CA,2010,2.048070970372527
111CA,2011,2.088291492757425
111CA,2012,2.120734160635243
111CA,2013,2.147924573225609
111CA,2014,2.193969643046627
111CA,2015,2.2321631349965774
111CA,2016,2.279022703590156
111CA,2017,2.3074132841254036
111CA,2018,2.3230770571595842
111CA,2019,2.3565196298623388
111CA,2020,2.378601342512288
111CA,2021,2.411923267712958
111CA,2022,2.5066522493500747
111CA,2023,2.541427980830623
111CA,2024,2.5284748542108826
113FF,1947,0.5997523237121268
113FF,1948,0.6132295531478853
113FF,1949,0.6070120621685838
113FF,1950,0.6089042481733986
113FF,1951,0.6180505715628899
113FF,1952,0.6221546076596491
113FF,1953,0.634205805773215
113FF,1954,0.634665013252684
113FF,1955,0.6390896649259776
113FF,1956,0.6432738231574117
113FF,1957,0.6469504290010956
113FF,1958,0.6469077003748165
113FF,1959,0.6513808303049502
113FF,1960,0.6544146451948804
113FF,1961,0.6575641028993446
113FF,1962,0.6688816887764865
113FF,1963,0.6772532671624338
113FF,1964,0.6811644788125135
113FF,1965,0.6863877246901577
113FF,1966,0.696588647058653
113FF,1967,0.7005053677972773
113FF,1968,0.7010612315135822
113FF,1969,0.7048401639800351
113FF,1970,0.7106144555502699
113FF,1971,0.7128327502234848
113FF,1972,0.72192749599939
113FF,1973,0.7251337608936549
113FF,1974,0.7509622194060177
113FF,1975,0.7596829487510309
113FF,1976,0.7694851487687121
113FF,1977,0.7820324333073988
113FF,1978,0.8034021145897475
113FF,1979,0.8214273022310105
113FF,1980,0.8474082754757035
113FF,1981,0.8731693553931371
113FF,1982,0.9052198220607898
113FF,1983,0.93116603420347
113FF,1984,0.9589087714086445
113FF,1985,0.9730009860522678
113FF,1986,0.9897089046353565
113FF,1987,1.0
113FF,1988,1.0090479092333264
113FF,1989,1.0280419784581443
113FF,1990,1.0426831052048464
113FF,1991,1.0610407042301555
113FF,1992,1.0925776223435693
113FF,1993,1.12240184064772
113FF,1994,1.1452355078853398
113FF,1995,1.1730246689753676
113FF,1996,1.2160773186706084
113FF,1997,1.2614626542657756
113FF,1998,1.3262105151358332
113FF,1999,1.390049394989713
113FF,2000,1.4256696159952884
113FF,2001,1.4703025710108681
113FF,2002,1.5126373597710991
113FF,2003,1.5671832301472768
113FF,2004,1.6187595120123857
113FF,2005,1.6708352753541449
113FF,2006,1.7189088886503416
113FF,2007,1.7653926672307105
113FF,2008,1.8371853958596749
113FF,2009,1.9040381477527075
113FF,2010,1.9470926525718966
113FF,2011,1.9861056675166353
113FF,2012,2.022892772347002
113FF,2013,2.05269681759375
113FF,2014,2.0961793033509806
113FF,2015,2.1302317236022206
113FF,2016,2.172014518731946
113FF,2017,2.2008609054512176
113FF,2018,2.2249334079158696
113FF,2019,2.2695913627501283
113FF,2020,2.2970802821105365
113FF,2021,2.344325831520553
113FF,2022,2.4611088554372613
113FF,2023,2.504002537201987
113FF,2024,2.4952914006610447
211,1947,0.7209765004963606
211,1948,0.733975801678153
211,1949,0.7620848195271662
211,1950,0.7707168086133908
211,1951,0.7567730234349566
211,1952,0.7752461285153586
211,1953,0.7884829045936234
211,1954,0.8021705044452604
211,1955,0.7865419918176181
211,1956,0.7857217206413282
211,1957,0.7937256607245774
211,1958,0.7969250972112424
