K_STR,K_EQ,DPR_STR,DPR_EQ,REL_P_EQ,OUTPUT,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO,L_SHARE
363.204,265.0,0.0207794695011012,0.123353819139596,0.965403,285.08,17.9903,4.45582,1.90757,1.7784,1.4429153126783212,0.2212274870589279,0.695207040943993
380.63937767163065,294.01098646439834,0.0208708168405902,0.1230142566191445,0.9244156888959169,303.60376808051257,18.000190831259502,4.679725597467288,1.9666959538271709,1.879310120569405,1.4789486818009976,0.2322165305751906,0.694691055111301
397.3047537169526,331.9344469089767,0.0208611481975967,0.1211566617862371,0.871073725107679,323.6294692010878,17.7421468301013,4.728344338738649,2.015590267565172,1.98582035288354,1.5248586272170874,0.2380415559936429,0.6894851682591703
413.130213968504,365.9245418662173,0.0209276901452444,0.1214547881214547,0.8459682389753512,332.50503068931204,17.618957380213676,4.761317573055542,2.1259512400395413,2.0718982800329906,1.5083669457911533,0.2413775069915791,0.6918888065898314
430.7205469499885,403.07728285100274,0.0206857466704448,0.1211020284589766,0.8111762111585105,348.84966459298283,17.667500603600903,5.120519949604758,2.217944082174788,2.213546154806744,1.5446492062046178,0.2588742185384968,0.6984936050950883
449.3409863043214,443.46519495888833,0.0212028008638178,0.1207464324917673,0.7877308511437069,359.7506460028105,17.598222390716185,5.070544820611496,2.4012237540276886,2.328794877476859,1.5010338374587802,0.2573568176071105,0.703517483209762
466.47661485251047,476.9312618726824,0.0214111922141119,0.1211514392991238,0.7770460015922803,360.419990471551,17.489346551040693,5.226325659391026,2.629293073553345,2.561454203941956,1.5077851948031795,0.2669148505040861,0.712155124408299
487.36354374339817,507.3370795851959,0.0211668928086838,0.1227495908346972,0.7580066308923951,372.2898881925573,16.851139117949177,5.525402831276853,2.801213692412283,2.702669548596817,1.4932708392845209,0.292876506209378,0.7203792656248059
512.092287752446,547.306515120101,0.0212297607983172,0.1229934924078091,0.7270833946889645,391.86826846341125,16.659799485965397,5.60756900071587,2.9038344999313908,2.814661459834676,1.5001897097029744,0.3006455011493611,0.7125502165652083
538.1539563730155,603.672696518139,0.0213731956996616,0.1214480342545737,0.6917330861877473,413.9920636849477,16.640870094086324,5.810082967136461,3.1026593163745244,2.9768800668438065,1.4849749355199262,0.3118574741164471,0.71077986299618
