YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.246844498140082,321.2125464879657,5045.235281318539,57.59014428895356,1.0,0.02128991859737,0.1026344676180021,0.0,0.0,0.0,0.0,1.3240660482430475,0.2890201072576656
1988,0.25032722513089,324.7386169149171,4962.196133595384,61.137619474976454,0.9500747816442774,0.0214969708813758,0.1015987622485816,27.461334416531876,10.350835514880096,13.275722978320555,18.51268740545551,1.4367350245921064,0.3981351725705559
1989,0.2374318419817282,332.6392851901975,4881.957912412063,63.939970530163706,0.9038180442807321,0.0214272405440655,0.1001926782273603,28.15928221732633,9.900797819119735,13.973383649233883,19.58452468103748,1.3947657390357648,0.3682022132330762
1990,0.2395124463519313,327.3274453105356,4805.514263074191,67.38179029815142,0.8561909623063513,0.0217746325530756,0.0993618960802188,28.4444240208299,9.624050148197073,14.461286013859741,20.736614952857504,1.349225852747434,0.3187056270457016
1991,0.2415113723552284,333.33992094861657,4730.27967537976,69.09481949529433,0.8190151382042606,0.021793054571226,0.1009463722397476,28.975066938356143,9.582197044496464,15.230154653227087,21.64445012939155,1.4543039749614626,0.3010880575976813
1992,0.2465187758085373,337.30249565230315,4655.387405059093,71.8179737226251,0.7703925033557711,0.0216457653324171,0.101288316303865,28.772481907943085,9.998014540311827,15.383671585466196,22.12807533479364,1.3720380386091395,0.33129936010614
1993,0.2434367541766109,347.20427453428766,4584.827574738255,75.42452099213843,0.7267644146752844,0.0214878723750611,0.1010893246187363,28.965041289173428,9.6616928736837,15.993460547176593,23.63270929546765,1.4354402366443606,0.3371586101205503
1994,0.2339961484025151,344.23183543494025,4507.40788820987,77.43853907539375,0.6952151400738843,0.021630094043887,0.1015859408486926,29.509228155845094,9.903942907057633,16.582030145058347,23.681843775268106,1.4501043637482467,0.3288429089984325
1995,0.2261498954640487,339.73127262600946,4437.934746959445,79.92439585151457,0.6535027182946822,0.0217456961643007,0.1012605042016806,28.871153105743378,10.7164899669845,16.70505266431021,24.531670477971492,1.5875649384423862,0.367803387672745
1996,0.2303238822433432,349.42502016873374,4370.137934694305,82.47297682632168,0.6064656149242227,0.0217777777777778,0.1014736842105262,28.760961170883835,11.033695657557093,17.19503931493511,25.492645958097594,1.5456303685762112,0.3321960281781692
1997,0.2455752599443663,352.14597755225486,4300.633507223681,84.1976309561529,0.5662120458808116,0.0217484618686507,0.1007685738684884,29.021644192151115,11.146588557243824,17.901336533867784,26.385831074074883,1.3759482137649606,0.4217409078709246
1998,0.2632678620521123,356.3204487452148,4235.728974918689,87.45263979063199,0.5180442033154055,0.0219224283305228,0.0979802320584444,28.58281897784762,11.444783407567932,18.236337158445146,27.667355321092664,1.534081072785506,0.4587110700115764
1999,0.2621864147798305,412.6122347327994,4170.637172708781,93.95225984969709,0.47066116806736263,0.021680216802168,0.0940134907251265,28.58354603652485,10.948237445662883,18.687165015832615,29.13251721524832,1.592934149616931,0.4060854745646839
2000,0.2788737087637454,478.3942784634906,4122.136870776681,105.00416110843946,0.4317115486378693,0.0216167817856228,0.0905068382944489,28.064621827693085,10.133182601685736,19.331021269043564,32.325368297642825,1.639244135433596,0.3471466841768681
2001,0.2973587237141155,559.6224712341129,4080.5874663646246,118.93564480937212,0.3940239666395768,0.0216038081288906,0.0880214313050133,27.621598561695492,9.929978001660643,20.04583050207323,34.420840523086746,1.7413240178324303,0.4292151107599039
2002,0.3077806812038205,401.3057859399684,4021.7950775554664,133.1998878801917,0.36386810052785795,0.0217877752914851,0.0853792598021253,28.332077589479546,9.874128834627523,20.75326068529931,34.00382179130991,1.6310159644652011,0.3114808109745003
2003,0.2877699797226405,415.3427177767826,3965.3981628231027,147.81934421550642,0.3321637621864851,0.021697148699307,0.0835674157303371,28.415244763889696,10.023587013302425,21.318060136502382,34.67858043354754,1.6733500533283985,0.3612448406230577
2004,0.2794330373287258,414.61862159199404,3907.011750948334,161.25299470016506,0.3118898269439929,0.0209365833923333,0.081890812250333,28.795115733093276,10.272181924156165,22.043193564458356,34.95394536182733,1.7024384392285692,0.33775512207159
2005,0.2836080317713754,475.6442930776352,3847.576799762647,177.76063141568076,0.2920120745007541,0.0216185192270901,0.0811149389289068,28.37735477015305,10.732678162223776,21.9881918478024,34.94503184382162,1.5834123986872426,0.3086825806249892
2006,0.2686134542759326,467.7941486236295,3792.9688752127286,200.51871660427452,0.27154907496304725,0.0215691561067673,0.0786199095022625,27.817361374264774,10.530002493623602,21.792054468345714,35.68211889363775,1.4660489821280362,0.4515718720517989
2007,0.2720478519246858,487.4813791316738,3754.447662062593,229.9212433118158,0.2547452457378451,0.0212837271660801,0.0778688524590163,27.19601719442843,9.841209063304287,21.9736326269262,37.72721459381601,1.6853406210832047,0.3877019672876223
2008,0.274272969528444,555.8984569437531,3722.147718896015,260.69385891910804,0.23574145354812562,0.0214378684633642,0.0774582560296845,27.25223767944116,9.748439246499531,22.745959347524025,38.64041605486834,1.5655400614504509,0.3832246489898807
2009,0.2592206160135599,459.31090367595215,3698.492319040677,284.12502653955966,0.22838324480601288,0.0221318526628606,0.0777629233511586,27.72497822407531,10.702003277904035,24.521317052610904,39.495929730644164,1.618397081241712,0.38380172478572
2010,0.2423881965991415,514.2218339884778,3670.013561354374,306.74088258884547,0.20973249811306424,0.0216181042585497,0.0766103145730794,27.040563306074716,12.26222008793455,25.053398329324523,39.08242870411091,1.6020103920536146,0.4394353423261511
2011,0.2469222737537333,493.9731665325333,3640.573332880957,336.6118774365795,0.19869040305986455,0.0217066883733549,0.0750654055141879,26.28393106226086,12.043178485358855,25.183102869930416,40.08867704742204,1.5759424682303806,0.3918713868674283
2012,0.2485658293247817,461.48961489614896,3619.909550931237,373.58772850185835,0.18864892110924922,0.0221845230327547,0.0743295019157088,25.465570997743583,11.699922941109264,25.420518706381486,41.5971746338335,1.703900957649905,0.3581063873952615
2013,0.2536613758826687,483.2163777174982,3593.33703042478,408.79760373659525,0.17942470361884144,0.0222462340303819,0.0739034279395504,26.077763468135938,12.04738429342867,26.50746782128061,41.172360015551725,1.7286911239669815,0.4951703109162566
2014,0.2520110743158995,518.7141216991963,3578.6897693644264,444.40633035797566,0.16940040437319334,0.0219580249909013,0.0735085227272727,25.803616314235406,12.30777121312056,27.519977257635425,42.50030606615633,1.6977888901167153,0.5010923865458567
2015,0.2594284606669852,490.7441016333938,3569.6809810064433,481.5032318089737,0.1606264510913028,0.0223490252020921,0.0738290092286261,25.46853288421457,12.540671762425674,28.520737538381294,43.646796071636544,1.3715310644334135,0.527921746753401
2016,0.2695608696515963,471.5823221767215,3566.5500275125987,519.6961356634312,0.15057231044144603,0.021913142208345,0.0729113924050633,25.065012479288416,12.885238530011154,29.630436992831463,44.87689811011759,1.5527646718127008,0.4601958658483771
2017,0.261830867933975,477.4414805739637,3551.682450956818,560.1581304972204,0.1425409382901312,0.0220988460701065,0.0724519700423315,25.316879875468338,12.903416013070954,30.512370662053517,44.63153504841302,1.2287846759922656,0.5995462256308469
2018,0.2648420432355513,508.2172285323205,3539.469886811147,608.88323977212,0.13499655825412618,0.0219168284458977,0.0713518490102808,25.075109612788548,11.890926238942091,30.923939721914927,45.79872562103701,1.6603352907199789,0.4546866611648119
