YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_S,L_U,W_S,W_U,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.4476833049478143,424.0351554276893,368.56595407310294,18.26642698003424,1.0,0,0,19.531636903488856,22.355418853361172,19.194095198772143,12.95216831230168,1.4819213845871675,0.8736869137458476
1988,0.4491052396767957,465.04499008693006,361.3124652697029,19.645776736375982,0.9500747816442774,0,0,18.970891227583053,22.639530824777676,19.06621075147566,13.02606450896259,1.4636969391911996,0.8379542568444263
1989,0.4371120607873077,485.86033164305167,355.0448547401571,21.60151214747616,0.9038180442807321,0,0,17.737763752727695,22.5520822891482,20.1865007726383,14.012041637562318,1.4406537815677056,0.7865244337664953
1990,0.4278139229532619,481.87547146090014,349.5080934586657,23.83992089571023,0.8561909623063513,0,0,16.57636646842246,23.458675129076738,20.80184063827611,13.967237440963798,1.489331066805484,0.7066198912434001
1991,0.4330479963210081,475.9166920036485,344.01346262014584,26.16756538363258,0.8190151382042606,0,0,16.516236055072955,24.40825248228609,22.54735221361423,14.156315871800356,1.5927415309041648,0.6766660606718712
1992,0.4370509239775031,480.3692197927969,338.7374727010974,28.6638299164426,0.7703925033557711,0,0,20.70622818527188,22.392839458663317,23.213650526373566,14.707113645135223,1.5783960800528736,0.9246807767945244
1993,0.4302592909489974,482.80022650385484,333.84175026230383,30.576910926370395,0.7267644146752844,0,0,19.435073376536195,22.198183613499815,23.978346310281133,14.616836796540136,1.6404606991272492,0.87552539049712
1994,0.3912845358475899,501.52396116173605,328.51681566350504,32.357292698491,0.6952151400738843,0,0,18.582687821166573,23.66583448773179,25.1911404735365,16.051507667976725,1.569394040398687,0.7852116024389384
1995,0.3717122463507903,529.956836535784,323.96570158147927,34.95161904956604,0.6535027182946822,0,0,21.090818036508573,21.497979819103847,27.5122586622636,15.671125747680971,1.75560193346894,0.981060463075072
1996,0.3727163189538646,530.1792624396649,320.38773960153037,38.45888445127478,0.6064656149242227,0,0,19.04535502032901,21.20341417836831,28.02085174593045,16.705155806556988,1.6773774558230643,0.8982211477885034
1997,0.3736159808082672,561.3670273539889,317.29327271646173,41.114253402753675,0.5662120458808116,0,0,19.78154050806137,21.44840080270215,29.863588035399182,15.880301136189813,1.8805429304701715,0.9222851013474728
1998,0.3719606542882405,561.3940876222883,312.4055501664106,45.13041201681504,0.5180442033154055,0,0,20.540753451457228,23.45902238139879,29.08421801207561,17.037699400339935,1.707050777729728,0.8756014260741093
1999,0.3726203718417289,564.2434887470345,309.49918869377,48.67721431835392,0.47066116806736263,0,0,20.369500518739862,22.509278358573752,31.098493383739346,16.91483829290888,1.8385332951587603,0.9049379635478696
2000,0.3976469961936703,582.8635880083567,306.39417444015805,52.06850024915203,0.4317115486378693,0,0,21.04476832981666,22.529093849223393,33.822156450325465,18.616007458165157,1.8168319134128168,0.9341151699513248
2001,0.3874718718388075,559.9207841367727,302.99175497025533,55.727088799809074,0.3940239666395768,0,0,20.51140079193431,19.723179347260768,39.504992633967326,19.31229867081106,2.045587286493029,1.0399642182832465
2002,0.3572322081521111,581.8251382306478,297.576813329251,60.15925564398394,0.36386810052785795,0,0,24.05564116004631,17.592002861163067,36.64687147073992,19.34600804592665,1.8942859624446409,1.3674191250362218
2003,0.3633463260393769,595.0531959960784,291.6018031485652,63.58095361793547,0.3321637621864851,0,0,24.3933959662387,19.577383662220825,38.21517279529898,19.67021359088581,1.9427939924864863,1.2459987701682276
2004,0.3458399290964649,644.3898299091197,287.063470986458,67.40083338650042,0.3118898269439929,0,0,22.6836930150833,19.512526072487343,38.23478454692423,20.978531551331912,1.8225672494458616,1.1625195492790297
2005,0.3665348115458443,697.9999771425959,282.2910140316644,70.71988296378085,0.2920120745007541,0,0,22.874291676480336,17.86965891173953,40.24984415646665,21.231882954804345,1.8957265468232491,1.280063138835459
2006,0.3276233035418736,732.0262524805712,277.67489355161183,74.03697747820877,0.27154907496304725,0,0,24.71277988459237,18.676894952426,42.31603306530682,21.98765279752899,1.924536168319993,1.3231738973496954
