YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.7064415830597809,902.2542277734896,911.4771027242684,23.10595436857536,1.0,0.025310834813499,0.1548872180451127,14.610265912978909,3.337800291172826,8.39727702059912,12.302153099656987,1.4650169417394387,0.2284558207943168
1988,0.6992939203080283,908.5659092064461,914.4757158619499,25.275320772408783,0.9500747816442774,0.0251546391752577,0.1568088033012379,14.249727814805114,3.353475347112998,8.53241088783789,12.866514011183314,1.5079576195191513,0.2353360983940212
1989,0.6912826647648699,923.8802563140988,919.5053547841169,27.41769228169548,0.9038180442807321,0.0253456221198156,0.1603650586701434,14.84074646546152,3.7072756662339215,8.959304376542697,13.46685344616205,1.5031137329613495,0.249803854197076
1990,0.7014354401958259,925.8156273573046,923.1336369880144,28.96924194897819,0.8561909623063513,0.0252798844348139,0.1594561186650186,15.100404867849397,3.7907959460543688,9.11365603296532,13.356351172427331,1.4655316290318192,0.2510393581648553
1991,0.7064746752592891,907.2651261781696,920.8868512931929,30.497251682096497,0.8190151382042606,0.0259831460674156,0.160287081339713,14.92323809509758,3.9383476914887896,9.356811183565538,14.080144133805822,1.5048015672835662,0.2639070466069005
1992,0.7011094528764115,936.3333680158153,919.9706388314225,32.98063119184432,0.7703925033557711,0.0255290560967417,0.1593023255813953,15.416225282648364,4.105644452135557,9.895106633198203,14.751897772219936,1.4908275695308972,0.2663196973877023
1993,0.6813441382849051,986.38653754011,919.1780609133897,35.94116023161996,0.7267644146752844,0.0253244697689142,0.157662624035281,15.300140242353436,4.1839683314796146,9.851175067268146,14.82355598993926,1.504750031211253,0.2734594758744542
1994,0.6685500379949113,1053.487909244701,922.301954899231,39.15576587228483,0.6952151400738843,0.0250589622641509,0.1572456320657759,15.399471069947833,4.05756260143525,10.302004233910004,15.236838368250098,1.4790169002354543,0.2634871407598934
1995,0.6671880623990075,1094.670008354219,928.1565223475469,43.029585766437776,0.6535027182946822,0.0253552521593759,0.1591562799616491,15.242523853554557,4.475893407459932,10.523924124831517,15.768430885484204,1.4983413694781509,0.2936451633904547
1996,0.6605351687237264,1127.2257394062872,934.0366862946403,47.228814044101455,0.6064656149242227,0.0254860746190225,0.1598546775658491,15.360229685859062,4.28457056685089,11.101561692478963,17.000842531187995,1.531391979085758,0.2789392251598524
1997,0.6590811114674834,1152.3381947711541,938.6178913821302,50.31237872517297,0.5662120458808116,0.0253164556962025,0.1616341030195381,15.332212781844605,4.115284911376172,11.35175947665398,17.805605811921343,1.568532688570467,0.2684077614843189
