YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_S,L_U,W_S,W_U,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.9170833333333334,99.41232194231983,707.5064620839196,2.37757644359634,1.0,0.0185185185185184,0.1666666666666667,0.0,0.0,0.0,0.0,1.5930300704838245,3.7706480931441946
1988,0.9127707618967968,106.76122210360431,700.7674867792866,2.55158963140368,0.9500747816442774,0.018626309662398,0.1688311688311687,18.458937430778082,4.849312825562876,13.749891329843347,8.6252530178665,1.604227125960956,3.885654038893237
1989,0.9132464600861891,112.41297223263928,694.581604818796,2.75779199720842,0.9038180442807321,0.0185995623632385,0.1604938271604937,18.486941112027186,4.879422109309389,14.29080156466137,8.871596953901067,1.6030265495397191,3.856777790036008
1990,0.9218942337862952,117.20517978375659,688.1349719635772,2.92301511518703,0.8561909623063513,0.0196891191709844,0.1647058823529412,18.512993472266878,4.888847404738056,14.72379344132297,9.095434083396228,1.6102193527753192,3.58924040096354
1991,0.9035975636475176,120.58224384311339,682.3181165530233,3.08878582992579,0.8190151382042606,0.0190571715145436,0.1704545454545454,18.548858325405842,4.909029279040387,15.257138208421669,9.33969683113166,1.624787305330413,3.7999797033411418
1992,0.9248241410949128,125.5629710004905,676.6172680699804,3.3641579289824697,0.7703925033557711,0.0190294957183634,0.1720430107526881,18.57536399603672,4.890866807410402,15.687031905045405,9.622151549123423,1.6204776668294458,3.863690275264295
1993,0.914493915053022,129.51229073802506,671.4239323256829,3.6011095776117203,0.7267644146752844,0.0188340807174887,0.1770833333333333,18.627500278145902,4.913789076206017,16.216608758723737,9.857292568552635,1.6454686253493571,3.634657710544938
1994,0.893411307349442,134.11995507726425,666.4165582256636,3.99481208399815,0.6952151400738843,0.0191029900332225,0.1747572815533981,18.674153888668,4.922022498153675,16.688683569579222,10.144333253860077,1.6685043289845236,3.982023301774874
1995,0.8838058419243986,140.27708159287107,662.4157618134197,4.55206702634066,0.6535027182946822,0.018957345971564,0.1711711711711712,18.720844394707246,4.893232696778083,17.209705063406517,10.470461097505323,1.6819322260653913,3.75792912135026
1996,0.8841314102110434,148.34616383848606,660.0784378502697,5.1768800955113,0.6064656149242227,0.0192165558019216,0.1694915254237288,18.815120626959157,4.90372239296996,17.85347664544512,10.771739337489958,1.6180457722459722,3.705789550811758
1997,0.8120734840032175,152.05322938369514,660.6036131881701,6.10325638565682,0.5662120458808116,0.018957345971564,0.1692307692307691,18.96644555446144,4.9472847678874645,18.652955456644836,11.145734708678766,1.6790954802755116,3.94264269108977
1998,0.8489924070900516,161.82342620161631,662.3043433507158,7.48881581784354,0.5180442033154055,0.0185528756957328,0.1689189189189188,19.137660838068097,4.96445516644776,19.259128370794176,11.556684948542596,1.6278503515358778,3.965269017087708
1999,0.8358784284655301,170.1354026031904,662.632115565355,9.19233486792355,0.47066116806736263,0.0189003436426117,0.1656804733727811,19.29525443244354,5.000404164656913,19.66858549061201,11.891447938881322,1.6907669313457272,3.7884114071485104
2000,0.8245085272620348,181.57162815139515,664.8983459428382,11.284625230653,0.4317115486378693,0.0190174326465927,0.1692307692307693,19.46103191196185,5.062437303208959,20.48011966183143,12.300472079709532,1.6875384429620597,3.850898868834378
2001,0.8290574757854369,194.8697701235868,667.935238904285,13.608816857017732,0.3940239666395768,0.0189965903555772,0.1674208144796379,19.64106304700555,5.086663795896636,21.150407190446497,12.679774565835295,1.6745103071466922,4.010242973818801
2002,0.8811149406936448,205.12193917851502,671.2515191834921,16.577434890244,0.36386810052785795,0.0190562613430126,0.1706349206349207,19.805591726287123,5.122429302024115,21.80213487722297,13.161506518727142,1.6633637399688344,3.7288539501423776
2003,0.8499790162474199,213.6978176932667,673.2047243482,19.61952057739425,0.3321637621864851,0.0189084658358401,0.1732851985559567,19.94456099637568,5.114487865599617,22.292989566908187,13.503983237171633,1.6070388265755746,3.957826227784803
2004,0.8328722538649308,218.4341737685208,675.2363612258184,23.15797486991854,0.3118898269439929,0.0185185185185186,0.1687898089171975,20.054704673619476,5.139068884617068,22.984571774044948,13.968652655621312,1.679905886297047,3.892143982033193
