YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_S,L_U,W_S,W_U,SKILL_PREMIUM,LABOR_INPUT_RATIO,L_S_raw,L_U_raw,L_S_iv,L_U_iv
1987,0.0408881668020579,62.14125324538629,5.79016713157972,0.11064340429321999,1.0,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,1.7741540410531769,2.725556421218556,0.0,0.0,0.0,0.0
1988,0.0464601769911504,54.408350702387615,6.519271395726319,0.14900488414423002,0.9500747816442774,0.020408163265306,0.0,28.711265500372885,8.651409589312276,19.295048440190676,12.259415212461004,2.027131281855064,4.3281860552995495,28.711265500372825,8.651409589312202,28.711265500372885,8.651409589312276
1989,0.0524658971668415,56.38094927524416,7.3811539225155895,0.18748718108746001,0.9038180442807321,0.0178571428571427,0.0,29.01710240621534,8.565204104625352,21.615816437917715,13.086987724395978,1.734390318619498,3.470906636654077,29.01710240621551,8.565204104625293,29.01710240621534,8.565204104625352
1990,0.0505759300940023,53.49981141563993,8.20502485314962,0.18748718108746001,0.8561909623063513,0.0161290322580645,0.0,29.3699698452415,8.411790354078764,23.998683783494027,14.02004092260677,1.409153020627445,3.4796457112325987,29.369969845241698,8.411790354078736,29.3699698452415,8.411790354078764
1991,0.0543061589573217,48.643964730921255,8.86851908330147,0.18748718108746001,0.8190151382042606,0.0303030303030302,0.0,29.558367095095143,8.392318253050215,25.661897739550458,14.482709227494656,1.7669863409940754,3.066821569708802,29.558367095095015,8.392318253050199,29.558367095095143,8.392318253050215
1992,0.053454585782411,48.712041262244156,9.666020414083661,0.18748718108746001,0.7703925033557711,0.0273972602739726,0.0,29.74140475418387,8.221078614356145,27.623322067699487,15.064823916245508,1.6473294679816803,2.806688222412276,29.74140475418376,8.221078614356133,29.74140475418387,8.221078614356145
1993,0.0534307130501633,55.77802622217705,10.58891147373158,0.22912157851513,0.7267644146752844,0.0246913580246913,0.0,29.91357214992898,8.201516683352907,29.37867492019072,15.461349765483742,1.611343662695742,3.425515514719422,29.913572149928857,8.201516683352894,29.91357214992898,8.201516683352907
1994,0.0601626016260162,54.396315198385054,11.34872622279555,0.2717475212962,0.6952151400738843,0.0222222222222221,0.0,30.13130126252851,8.200311581227098,30.858436556433066,16.11123886593208,1.6480089520162124,4.048261373525242,30.13130126252834,8.200311581227101,30.13130126252851,8.200311581227098
1995,0.0637439483593329,60.91896407685882,12.372591858455639,0.31607079291652995,0.6535027182946822,0.0202020202020201,0.0,30.37196490640946,7.9853498561095595,32.87188568694722,16.94957131430617,1.95709885870994,4.047567285311089,30.3719649064097,7.985349856109559,30.37196490640946,7.9853498561095595
1996,0.0731617647058823,67.70541342485609,13.256331356861082,0.25725885705422,0.6064656149242227,0.0280373831775702,0.3333333333333333,30.86147657871161,7.658621295345121,35.80275730232542,18.19673284179136,3.0519151235734228,3.822312308728007,30.861476578711798,7.658621295345168,30.86147657871161,7.658621295345121
