YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_S,L_U,W_S,W_U,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.7965042819036923,394.24250929759313,30.933213018391644,7.409153180212149,1.0,0.0256410256410256,0.1691542288557213,0.0,0.0,0.0,0.0,1.201520470268889,1.5640510910967147
1988,0.8097566355415043,433.0655957161982,32.57255712473308,8.30577104052215,0.9500747816442774,0.023696682464455,0.1741071428571428,14.822211268892513,7.833067836775333,16.76139528375025,11.110996878080227,1.3779684911359984,2.45316736945443
1989,0.7918793264885285,468.7939215078834,33.99430401559459,9.27833398070017,0.9038180442807321,0.0264317180616741,0.1747967479674796,15.338120596109622,7.5744044667078745,16.651097265382866,11.739644511730837,1.3466297072033375,1.583531367823528
1990,0.7855188862928348,490.8442293185819,35.18744364930077,9.84985442099269,0.8561909623063513,0.025,0.1762452107279694,16.015761513416653,7.343327903379156,16.83244431174122,12.254254438468633,1.7038262653820284,1.8218252901424845
1991,0.8018037155768414,483.86287625418055,36.15695062695134,10.4976634472744,0.8190151382042606,0.0242914979757085,0.1721611721611721,16.644476286311033,7.103731951685539,16.946456362761015,12.885248854261615,1.2514657332209769,2.1911273749532225
1992,0.7992948608960994,502.31133968518213,36.959618587164776,11.75660919581447,0.7703925033557711,0.0271317829457363,0.1644295302013423,17.300684468410168,6.894494673448458,17.39929389970434,13.6991527711282,1.2099748465640805,3.090047793879181
1993,0.8008368877650925,515.593919242664,37.60559449910134,12.825756857349461,0.7267644146752844,0.025735294117647,0.1640378548895898,17.950579602170176,6.738619715219322,18.082297303161162,14.11286067720145,1.176800752838015,2.6752586307515003
1994,0.7828463401951735,536.0433874017316,37.96139332361052,14.183458022505908,0.6952151400738843,0.0245614035087718,0.1666666666666666,18.58247172443196,6.59083674973656,18.73347387058394,14.690798138698892,1.3071612067174436,2.022617802247942
1995,0.7885175374326026,582.7276524644946,38.74894496796581,15.98593588439922,0.6535027182946822,0.0269360269360269,0.1666666666666666,19.38237778415,6.473624275621035,20.41706251545004,15.330847374744435,0.8871920265016069,4.303162335323093
1996,0.7911373463638146,637.4304349609615,40.086242718276154,18.19551370906698,0.6064656149242227,0.0254777070063694,0.1645885286783043,19.984012760585003,6.3397101393433895,21.875297182370446,15.862920243006009,1.3914301359934595,3.147001083037895
