YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.8033951835767864,116.73917619816153,7.85949599034367,1.14669194245099,1.0,0.0333333333333333,0.125,0.0,0.0,0.0,0.0,2.173434627541644,0.1090144694578571
1988,0.8097569209993247,116.60142680426348,7.94487223774342,1.20198839617617,0.9500747816442774,0.0322580645161291,0.119047619047619,15.33198975775601,2.225203149569788,6.615681568861671,19.094949388629708,2.7255184010288507,0.1131094659016787
1989,0.7976703881342952,110.20527954867848,8.02651399290398,1.26897466926609,0.9038180442807321,0.0307692307692307,0.1363636363636363,15.337888773913289,2.082566033924586,6.9187714973067616,18.638348035110415,2.3853937317922598,0.0951126374130472
1990,0.7879052765416402,107.6376665828514,8.10122382706399,1.33927078381107,0.8561909623063513,0.0298507462686566,0.127659574468085,15.358027259493442,1.9393326189437317,7.154490590597132,18.2785435449366,2.315865151547873,0.1313609152005573
1991,0.780326609029779,106.18729096989965,8.163440032441361,1.40265719635388,0.8190151382042606,0.0298507462686566,0.127659574468085,15.338898861239409,1.7541222156480485,7.38927718985701,17.8074619070998,2.775272019677784,0.1021142368305494
1992,0.7690913703743975,110.90268591048947,8.22409699832627,1.55704877791435,0.7703925033557711,0.0289855072463768,0.1199999999999998,15.488257963843981,2.108601672384948,7.912804682409137,19.081239189746064,1.82084165104238,0.104090077773275
1993,0.7806054014863151,113.08350151728543,8.282821851739572,1.68052123723179,0.7267644146752844,0.0281690140845071,0.1346153846153847,15.497972741504814,2.0374757818083027,8.178294243176207,19.320957187416003,2.6223870945616112,0.2000675486790549
1994,0.7744670196022321,115.86796127546451,8.34328291395675,1.89671551038855,0.6952151400738843,0.027027027027027,0.125,15.640201191611487,2.5203214913481844,8.86217966372806,21.231282063193895,2.912320375856359,0.2096467520396211
1995,0.7773710358223451,115.44695071010862,8.54428521086772,2.13552192307925,0.6535027182946822,0.0259740259740259,0.1311475409836064,16.20050677262426,3.185059875903129,9.208504453928409,23.650695512627234,3.5950810026052427,0.2690531348418181
1996,0.7830636753291887,114.36834260867188,8.73818572528462,2.28324949201042,0.6064656149242227,0.0253164556962025,0.1269841269841269,16.4261573780112,2.698576852289385,8.773022921768167,23.135419853477547,2.555550056614552,0.1656995170749365
1997,0.7577985297039539,117.19873647422541,8.930879939890449,2.4893865188153,0.5662120458808116,0.0240963855421686,0.123076923076923,16.693800623639348,2.7426971712518284,8.97702711540869,23.824377590862774,2.067054922552282,0.1619023617458235
1998,0.8170991975414035,105.07098043385794,8.88518193797119,2.77000859681434,0.5180442033154055,0.0348837209302326,0.1194029850746268,16.48967202892179,2.531142938459796,9.111239744142503,25.100437122669813,2.39516254160953,0.1143483875459335
