YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_S,L_U,W_S,W_U,SKILL_PREMIUM,LABOR_INPUT_RATIO,L_S_raw,L_U_raw,L_S_iv,L_U_iv
1987,0.9170833333333334,99.41232194231983,707.5064620839196,2.37757644359634,1.0,0.0185185185185184,0.1666666666666667,0.0,0.0,0.0,0.0,1.5930300704838245,3.7706480931441946,0.0,0.0,0.0,0.0
1988,0.9127707618967968,106.76122210360431,700.7674867792866,2.55158963140368,0.9500747816442774,0.018626309662398,0.1688311688311687,18.458937430775173,4.8493128255644224,13.749891329843347,8.6252530178665,1.604227125960956,3.885654038893237,18.458937430778082,4.849312825562876,18.458937430775173,4.8493128255644224
1989,0.9132464600861891,112.41297223263928,694.581604818796,2.75779199720842,0.9038180442807321,0.0185995623632385,0.1604938271604937,18.486941112025658,4.879422109310331,14.29080156466137,8.871596953901067,1.6030265495397191,3.856777790036008,18.486941112027186,4.879422109309389,18.486941112025658,4.879422109310331
1990,0.9218942337862952,117.20517978375659,688.1349719635772,2.92301511518703,0.8561909623063513,0.0196891191709844,0.1647058823529412,18.51299347226666,4.888847404738196,14.72379344132297,9.095434083396228,1.6102193527753192,3.58924040096354,18.512993472266878,4.888847404738056,18.51299347226666,4.888847404738196
1991,0.9035975636475176,120.58224384311339,682.3181165530233,3.08878582992579,0.8190151382042606,0.0190571715145436,0.1704545454545454,18.548858325406595,4.90902927904013,15.257138208421669,9.33969683113166,1.624787305330413,3.7999797033411418,18.548858325405842,4.909029279040387,18.548858325406595,4.90902927904013
1992,0.9248241410949128,125.5629710004905,676.6172680699804,3.3641579289824697,0.7703925033557711,0.0190294957183634,0.1720430107526881,18.57536399603802,4.890866807409594,15.687031905045405,9.622151549123423,1.6204776668294458,3.863690275264295,18.57536399603672,4.890866807410402,18.57536399603802,4.890866807409594
1993,0.914493915053022,129.51229073802506,671.4239323256829,3.6011095776117203,0.7267644146752844,0.0188340807174887,0.1770833333333333,18.627500278147984,4.913789076204914,16.216608758723737,9.857292568552635,1.6454686253493571,3.634657710544938,18.627500278145902,4.913789076206017,18.627500278147984,4.913789076204914
1994,0.893411307349442,134.11995507726425,666.4165582256636,3.99481208399815,0.6952151400738843,0.0191029900332225,0.1747572815533981,18.674153888670695,4.922022498152051,16.688683569579222,10.144333253860077,1.6685043289845236,3.982023301774874,18.674153888668,4.922022498153675,18.674153888670695,4.922022498152051
1995,0.8838058419243986,140.27708159287107,662.4157618134197,4.55206702634066,0.6535027182946822,0.018957345971564,0.1711711711711712,18.720844394709726,4.893232696776471,17.209705063406517,10.470461097505323,1.6819322260653913,3.75792912135026,18.720844394707246,4.893232696778083,18.720844394709726,4.893232696776471
1996,0.8841314102110434,148.34616383848606,660.0784378502697,5.1768800955113,0.6064656149242227,0.0192165558019216,0.1694915254237288,18.815120626961047,4.903722392968927,17.85347664544512,10.771739337489958,1.6180457722459722,3.705789550811758,18.815120626959157,4.90372239296996,18.815120626961047,4.903722392968927
