YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO,L_S_raw,L_U_raw,L_S_iv,L_U_iv
1987,0.5779862353529004,257.973124693004,4646.940389216968,25.6819078262517,1.0,0.0237752161383285,0.1467221644120707,0.0,0.0,0.0,0.0,1.9239406477964869,0.1915373158875481,0.0,0.0,0.0,0.0
1988,0.6249307659726974,260.418890752885,4538.477929840788,26.16787932892604,0.9500747816442774,0.0239605355884425,0.1438923395445135,10.662866077739743,1.2370873165983145,6.007606557057219,13.147217257411356,2.639135056600541,0.1041732120193313,1.2370873166597551,10.662866077522587,1.2370873165983145,10.662866077739743
1989,0.585732639123673,280.32153397140104,4431.54899573093,27.351553514760866,0.9038180442807321,0.0241712707182319,0.1430020283975659,10.985526667945894,1.2684933889268706,6.437200726709389,12.980525865017233,1.9693593721577003,0.18072147516087,1.2684933887879732,10.985526668455178,1.2684933889268706,10.985526667945894
1990,0.6393720831565549,282.6989564998743,4328.576796022448,28.74407247529761,0.8561909623063513,0.0238744884038198,0.1415929203539823,11.077429604613197,1.3183234290681707,6.481113565355397,12.596558700278742,1.6598803056944451,0.1240213875187977,1.3183234291300954,11.077429604390492,1.3183234290681707,11.077429604613197
1991,0.7094014664923549,266.4426877470355,4227.046027048197,29.31692274370227,0.8190151382042606,0.0240880935994494,0.1431353456669912,11.425548929877408,1.3381383935032538,6.921405796004686,12.385936059070824,1.9425212318493168,0.0889211349201964,1.3381383934062827,11.425548930231088,1.3381383935032538,11.425548929877408
1992,0.6329234391044103,271.38100688199535,4128.011678860473,29.338554163965988,0.7703925033557711,0.0239561943874059,0.1451135241855874,11.312759445284538,1.2581838762063438,7.116016734808522,11.874876052949183,1.5994223509054553,0.0720702387523298,1.258183876204925,11.312759445288279,1.2581838762063438,11.312759445284538
1993,0.7617858345493321,264.48100126319457,4032.212786231764,30.696973989709342,0.7267644146752844,0.0240160106737824,0.1424390243902438,11.47244384956523,1.3573091480391817,7.388840401221809,12.434360030215972,1.4014798845510366,0.1192233223960114,1.3573091480935149,11.472443849365884,1.3573091480391817,11.47244384956523
1994,0.6206426298538172,280.7614119386435,3939.8851336244143,33.104674155867585,0.6952151400738843,0.0237789203084831,0.1409649952696311,11.538079160542097,1.4376690364502984,7.586203583669787,12.866327431419645,1.6298008150304115,0.1697538689758252,1.4376690366369933,11.538079159860818,1.4376690364502984,11.538079160542097
1995,0.8187626092804304,267.1915900863269,3848.6093270961173,36.236194582821916,0.6535027182946822,0.0240506329113924,0.1410488245931284,11.436985393248822,1.3605911372833548,8.010385524383727,12.9021083496461,1.3943354291603367,0.084824666566488,1.360591137353003,11.4369853929909,1.3605911372833548,11.436985393248822
1996,0.636708081909347,295.09660481588344,3759.7153062636544,39.71118007585859,0.6064656149242227,0.0241635687732342,0.141732283464567,11.634149944370343,1.436862513457874,8.359370426450537,13.355861728348966,2.3146664091628133,0.1409662265534841,1.4368625135184547,11.634149944145063,1.436862513457874,11.634149944370343
1997,0.6715870926749569,294.8854089656563,3672.370914674279,44.99132518273374,0.5662120458808116,0.0241254523522316,0.1405990016638933,12.060567229571074,1.5981974416119575,8.926597086769139,14.48428688561115,1.1509997081105705,0.0327431480793658,1.5981974414486324,12.060567230160343,1.5981974416119575,12.060567229571074
1998,0.7654181956219157,276.2414929817099,3587.7243703738523,50.18254820556554,0.5180442033154055,0.0239906377998829,0.1414944356120826,12.323958157034568,1.712081355029861,9.226678632275469,14.952343310751896,1.8465671110108723,0.2198651140547393,1.7120813549096132,12.323958157467134,1.712081355029861,12.323958157034568
1999,0.9074068852736348,262.0872711066836,3506.4141481604493,52.73506467271231,0.47066116806736263,0.0237960339943341,0.1443298969072165,12.86119530686305,1.8979932219839224,9.518336405775813,15.502840367905028,1.4909504751238587,0.1306752372393592,1.897993221999876,12.861195306802236,1.8979932219839224,12.86119530686305
2000,0.8916153805691441,261.86924033273095,3427.691939011912,56.06799576977568,0.4317115486378693,0.0239130434782609,0.1443217665615142,13.22544641846895,2.0881856474983023,10.006903621672418,17.02923693238844,1.9758659907411145,0.1554987707364797,2.0881856474813927,13.22544641852963,2.0881856474983023,13.22544641846895
2001,0.8550190157888671,266.14273896367604,3350.6940337609885,60.284612027831464,0.3940239666395768,0.0241090146750523,0.1434108527131783,13.415159615796412,2.192269291020387,10.541529526529052,18.338700066211114,1.40355970866518,0.2343486798633525,2.1922692909099486,13.415159616198157,2.192269291020387,13.415159615796412
2002,0.8636088424848297,249.75686216429702,3277.493284641322,66.34667615714301,0.36386810052785795,0.0235776524859046,0.1413533834586465,13.45939257377352,2.3631158468017643,10.787290624973814,19.816750652449585,2.1752980086068234,0.1804862473428443,2.363115846883727,13.459392573477054,2.3631158468017643,13.45939257377352
2003,0.7033383832328803,275.8118592575558,3204.870316529915,73.59802278646762,0.3321637621864851,0.0238568588469185,0.1396688264938805,13.590706175997925,2.4214242201165987,11.417789015365688,21.038444356459312,2.168444537956136,0.2730881333997149,2.4214242199817986,13.59070617648981,2.4214242201165987,13.590706175997925
2004,0.7056064273060705,310.2148826573311,3135.3449749296333,82.63463944872612,0.3118898269439929,0.0234590616375344,0.1372155287817938,13.659844333896933,2.581065836127888,11.709477820345294,22.38841430812242,1.4675533260225624,0.1735948683792483,2.5810658361093815,13.65984433396699,2.581065836127888,13.659844333896933
2005,0.7944987497158446,289.7770260231546,3068.6410167077825,91.27217103144729,0.2920120745007541,0.0232067510548523,0.139135959339263,13.515893631334457,2.613841480647518,11.895173094408717,22.93851553840618,1.5612528007895063,0.086266357942151,2.613841480851607,13.515893630594922,2.613841480647518,13.515893631334457
2006,0.8250474383301708,284.0822163834104,3002.452885061207,98.47581648379504,0.27154907496304725,0.0233755942947702,0.1398046398046398,13.519729055907675,2.5850202314954513,12.421614844140858,23.5285326607478,2.454236054845087,0.1340250092755024,2.585020231615638,13.51972905547297,2.5850202314954513,13.519729055907675
2007,0.7799972671528858,329.01509099937385,2936.436376556872,106.55214851986204,0.2547452457378451,0.0239289849478965,0.1390186915887851,13.446053194994143,2.5725079180220867,13.051432392922592,24.685694792966782,2.118872899081561,0.1192976134233803,2.572507917953913,13.446053195244227,2.5725079180220867,13.446053194994143
2008,0.7815591074858482,347.22366372599896,2873.558577444785,117.72871545898292,0.23574145354812562,0.0240458015267176,0.1372017353579175,13.057795101160831,2.631019182501089,13.239658536303018,26.013877036120608,1.678768574100978,0.2334867071596366,2.6310191826508946,13.057795100618028,2.631019182501089,13.057795101160831
2009,0.91749591491277,313.27362848994454,2809.0862505595746,127.5671693943777,0.22838324480601288,0.025,0.1397679324894515,13.318359771410229,2.6120654441636,14.072792038355205,26.744557986576844,1.4420750066341443,0.172465906777705,2.6120654438970017,13.318359772381246,2.6120654441636,13.318359771410229
2010,0.7009033812268778,333.7295397350304,2746.972013838858,139.01988761581012,0.20973249811306424,0.0243700950020653,0.1387047424783273,12.796442613454083,2.5597809841486105,14.24447802812749,27.39064559378935,2.1791295738045715,0.2350229950553743,2.5597809840938006,12.79644261365349,2.5597809841486105,12.796442613454083
2011,0.5412023616393181,387.44205947372177,2687.6807107795403,154.7551420592297,0.19869040305986455,0.0242914979757085,0.1374521072796933,12.659793157663941,2.7279246760660487,14.522240326893746,29.124050753695933,1.875514986581799,0.3793524938734759,2.727924676101113,12.65979315753698,2.7279246760660487,12.659793157663941
2012,0.6677501757041683,404.1700417004171,2631.963265113758,180.3584973387452,0.18864892110924922,0.0238560813453265,0.1363034847816497,12.349270606922268,3.002972581491758,14.669738847094926,31.50063189236026,2.6634823839799195,0.2145355254333661,3.00297258160578,12.349270606507668,3.002972581491758,12.349270606922268
2013,0.5430997320761101,429.4276054566184,2578.0675198647614,210.38043163096683,0.17942470361884144,0.0238008055657268,0.1360160965794769,12.765451185296918,3.3236676353955783,14.933068300240048,32.58571090319701,1.8194990446239176,0.2594981340602753,3.323667635387278,12.76545118532637,3.3236676353955783,12.765451185296918
2014,0.6201400016867673,426.1179557931095,2527.6740101931164,247.80101724222828,0.16940040437319334,0.023850674040788,0.1362645348837209,13.226224469895566,3.8015582785638826,14.96594940913278,34.05799573216355,2.1665824392690194,0.2594758475365551,3.801558278566972,13.22622446988304,3.8015582785638826,13.226224469895566
2015,0.6115858402936053,384.85815264113097,2474.6331577212727,262.30897563410286,0.1606264510913028,0.0241206030150753,0.1422459893048128,15.118378992941617,3.802185747615205,15.454732124535289,29.925295340396936,2.340560306051545,0.303945810451936,3.802185747453954,15.118378993526607,3.802185747615205,15.118378992941617
2016,0.692405998829797,359.0767659381295,2423.0714033472645,266.0060096546921,0.15057231044144603,0.0238170847888218,0.1448126801152737,15.22975990839182,3.675345965996227,15.67129803020693,28.923298511865244,1.648214789169511,0.2472088179820815,3.6753459661964505,15.229759907663134,3.675345965996227,15.22975990839182
2017,0.7098144149443675,366.96924133578364,2372.9673307482863,276.03387922748107,0.1425409382901312,0.0240487062404869,0.1438282647584973,14.479230118248175,3.672386282341173,16.238323751058616,31.80527497471064,1.82315721773436,0.2945935484838567,3.6723862825328744,14.47923011755128,3.672386282341173,14.479230118248175
2018,0.6452513966480447,358.15332179083913,2320.457392890285,285.52601828526144,0.13499655825412618,0.0241911979014864,0.1433603381472349,14.393896612394599,3.56755962711832,17.202482053844378,33.14988569562378,1.994599943034607,0.1627052432544618,3.5675596268681544,14.39389661330436,3.56755962711832,14.393896612394599
